location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1953,1953-04-10,100
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1954,1954-04-04,94
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1955,1955-04-07,97
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1956,1956-04-11,102
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1957,1957-04-16,106
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1958,1958-04-09,99
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1959,1959-04-03,93
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1960,1960-04-05,96
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1961,1961-04-09,99
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1962,1962-04-10,100
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1963,1963-04-11,101
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1964,1964-04-07,98
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1965,1965-04-17,107
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1966,1966-04-06,96
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1967,1967-04-09,99
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1968,1968-04-13,104
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1969,1969-04-13,103
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1970,1970-04-18,108
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1971,1971-04-11,101
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1972,1972-04-06,97
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1973,1973-04-09,99
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1974,1974-04-11,101
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1975,1975-04-11,101
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1976,1976-04-11,102
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1977,1977-04-10,100
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1978,1978-04-14,104
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1979,1979-04-05,95
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1980,1980-04-10,101
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1981,1981-04-11,101
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1982,1982-04-04,94
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1983,1983-04-10,100
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1984,1984-04-18,109
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1985,1985-04-10,100
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1986,1986-04-11,101
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1987,1987-04-06,96
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1988,1988-04-15,106
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1989,1989-04-03,93
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1990,1990-03-31,90
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1991,1991-04-10,100
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1992,1992-04-05,96
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1993,1993-04-11,101
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1994,1994-04-12,102
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1995,1995-04-12,102
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1996,1996-04-15,106
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1997,1997-04-08,98
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1998,1998-03-31,90
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,1999,1999-04-04,94
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,2000,2000-04-12,103
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,2001,2001-04-05,95
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,2002,2002-03-31,90
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,2003,2003-04-09,99
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,2004,2004-03-31,91
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,2005,2005-04-10,100
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,2006,2006-04-10,100
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,2007,2007-04-09,99
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,2008,2008-04-07,98
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,2009,2009-04-06,96
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,2010,2010-04-06,96
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,2011,2011-04-10,100
Japan/Maizuru,35.4502777777778,135.318055555556,2.42,2012,2012-04-12,103
