location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Enges,47.056436,7.012192,820,1951,1951-05-05,125,0.2,8.3,90.0,325.8
Switzerland/Fiesch,46.400261,8.127792,1100,1951,1951-04-25,115,-2.45,0.3,90.0,653.3
Switzerland/Liddes,45.988267,7.180528,1350,1951,1951-05-22,142,-3.85,0.9,90.0,452.8
Switzerland/Les Ponts-de-Martel,47.002858,6.728592,1120,1951,1951-05-29,149,-1.48,1.5,90.0,415.2
Switzerland/Orvin,47.157753,7.214464,700,1951,1951-04-27,117,0.89,13.6,90.0,290.0
Switzerland/Posieux,46.761672,7.098294,680,1951,1951-04-26,116,-0.02,3.6,90.0,266.0
Switzerland/Schiers,46.965036,9.685814,800,1951,1951-04-26,116,1.12,6.3,90.0,432.4
Switzerland/Seewis Dorf,46.965358,9.632064,960,1951,1951-04-27,117,-0.59,0.3,90.0,432.4
Switzerland/Trient,46.048003,6.993797,1300,1951,1951-05-24,144,-4.08,0.7,90.0,417.3
Switzerland/Vallorbe,46.712292,6.379286,850,1951,1951-05-25,145,0.15,0.0,90.0,385.0
Switzerland/Zofingen,47.291794,7.941003,440,1951,1951-04-15,105,1.97,27.1,90.0,253.0
Switzerland/Biel,47.151194,7.254139,490,1952,1952-04-16,107,0.23,25.8,90.0,352.6
Switzerland/Enges,47.056436,7.012192,820,1952,1952-04-25,116,-0.71,8.4,90.0,338.8
Switzerland/Fiesch,46.400261,8.127792,1100,1952,1952-04-28,119,-3.29,0.0,90.0,159.6
Switzerland/Flawil,47.415283,9.182167,630,1952,1952-04-17,108,-1.21,6.3,90.0,325.4
Switzerland/Liddes,45.988267,7.180528,1350,1952,1952-05-05,126,-4.74,0.0,90.0,453.4
Switzerland/Liestal,47.481403,7.730519,350,1952,1952-04-13,104,0.91,39.7,90.0,265.2
Switzerland/Les Ponts-de-Martel,47.002858,6.728592,1120,1952,1952-05-09,130,-2.42,0.6,90.0,436.6
Switzerland/Murg,47.108222,9.217372,500,1952,1952-04-10,101,0.23,15.3,90.0,420.8
Switzerland/Orvin,47.157753,7.214464,700,1952,1952-04-18,109,-0.11,17.3,90.0,312.3
Switzerland/Rafz,47.620414,8.542733,515,1952,1952-04-17,108,-0.51,18.3,90.0,257.9
Switzerland/Schiers,46.965036,9.685814,800,1952,1952-04-20,111,-0.78,16.8,90.0,438.3
Switzerland/Seon,47.338319,8.153353,550,1952,1952-05-06,127,0.03,15.7,90.0,336.8
Switzerland/Trient,46.048003,6.993797,1300,1952,1952-05-03,124,-4.95,0.0,90.0,406.4
Switzerland/Versoix,46.290431,6.137128,440,1952,1952-03-10,70,0.79,15.9,90.0,374.6
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1952,1952-04-25,116,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1952,1952-04-20,111,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1952,1952-04-15,106,,,,
Switzerland/Zofingen,47.291794,7.941003,440,1952,1952-04-23,114,0.85,30.5,90.0,266.0
Switzerland/Andeer,46.600961,9.422614,985,1953,1953-05-01,121,,,,
Switzerland/Fiesch,46.400261,8.127792,1100,1953,1953-04-20,110,-3.19,1.9,90.0,33.9
Switzerland/Flawil,47.415283,9.182167,630,1953,1953-04-21,111,-2.03,5.6,90.0,138.6
Switzerland/Liddes,45.988267,7.180528,1350,1953,1953-05-03,123,-5.16,0.2,90.0,140.1
Switzerland/Murg,47.108222,9.217372,500,1953,1953-04-10,100,-0.06,18.2,90.0,162.2
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1953,1953-04-18,108,,,,
Switzerland/Orvin,47.157753,7.214464,700,1953,1953-04-20,110,-1.17,36.8,89.0,129.1
Switzerland/Rafz,47.620414,8.542733,515,1953,1953-04-18,108,-1.41,30.5,90.0,110.9
Switzerland/Seon,47.338319,8.153353,550,1953,1953-04-14,104,-0.92,26.5,90.0,143.2
Switzerland/Seewis Dorf,46.965358,9.632064,960,1953,1953-04-20,110,-2.52,3.1,90.0,174.5
Switzerland/Simplon-Dorf,46.195022,8.056794,1475,1953,1953-06-10,161,,,,
Switzerland/Trient,46.048003,6.993797,1300,1953,1953-05-14,134,-5.38,0.0,90.0,133.3
Switzerland/Versoix,46.290431,6.137128,440,1953,1953-04-09,99,-0.11,22.9,89.0,145.6
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1953,1953-04-21,111,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1953,1953-04-20,110,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1953,1953-04-24,114,,,,
Switzerland/Zofingen,47.291794,7.941003,440,1953,1953-04-18,108,-0.17,51.5,89.0,118.2
Switzerland/Andeer,46.600961,9.422614,985,1954,1954-05-10,130,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1954,1954-04-11,101,,,,
Switzerland/Couvet,46.9213,6.637761,750,1954,1954-05-13,133,,,,
Switzerland/Enges,47.056436,7.012192,820,1954,1954-05-12,132,-1.15,13.9,90.0,225.5
Switzerland/Fiesch,46.400261,8.127792,1100,1954,1954-05-01,121,-3.55,0.0,90.0,270.9
Switzerland/Flawil,47.415283,9.182167,630,1954,1954-05-01,121,-1.69,9.3,90.0,215.7
Switzerland/Liddes,45.988267,7.180528,1350,1954,1954-05-15,135,-5.0,0.0,90.0,248.3
Switzerland/Les Ponts-de-Martel,47.002858,6.728592,1120,1954,1954-05-17,137,-2.75,0.5,90.0,277.2
Switzerland/Murg,47.108222,9.217372,500,1954,1954-04-25,115,0.07,27.8,88.0,269.3
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1954,1954-04-22,112,,,,
Switzerland/Orvin,47.157753,7.214464,700,1954,1954-05-04,124,-0.68,31.2,89.0,202.6
Switzerland/Rafz,47.620414,8.542733,515,1954,1954-05-01,121,-0.72,26.6,90.0,180.6
Switzerland/Schiers,46.965036,9.685814,800,1954,1954-05-10,130,-0.78,21.1,89.0,283.8
Switzerland/Seon,47.338319,8.153353,550,1954,1954-05-03,123,-0.54,24.7,89.0,217.5
Switzerland/Seewis Dorf,46.965358,9.632064,960,1954,1954-05-01,121,-2.58,2.3,90.0,283.8
Switzerland/Sarnen,46.894217,8.252236,500,1954,1954-04-25,115,,,,
Switzerland/Trient,46.048003,6.993797,1300,1954,1954-05-23,143,-5.22,0.0,90.0,228.0
Switzerland/Versoix,46.290431,6.137128,440,1954,1954-04-15,105,0.38,33.1,82.0,294.9
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1954,1954-05-06,126,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1954,1954-04-30,120,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1954,1954-05-01,121,,,,
Switzerland/Zofingen,47.291794,7.941003,440,1954,1954-04-24,114,0.19,47.9,87.0,176.5
Switzerland/Andeer,46.600961,9.422614,985,1955,1955-05-06,126,,,,
Switzerland/Couvet,46.9213,6.637761,750,1955,1955-05-04,124,,,,
Switzerland/Enges,47.056436,7.012192,820,1955,1955-05-01,121,-0.21,28.5,90.0,441.0
Switzerland/Fiesch,46.400261,8.127792,1100,1955,1955-05-05,125,-2.41,13.6,90.0,357.1
Switzerland/Flawil,47.415283,9.182167,630,1955,1955-05-01,121,-1.19,14.0,90.0,350.6
Switzerland/Liddes,45.988267,7.180528,1350,1955,1955-05-13,133,-3.41,11.7,90.0,599.4
Switzerland/Les Ponts-de-Martel,47.002858,6.728592,1120,1955,1955-05-15,135,-1.79,14.3,90.0,558.7
Switzerland/Murg,47.108222,9.217372,500,1955,1955-05-02,122,0.91,24.5,90.0,421.2
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1955,1955-04-25,115,,,,
Switzerland/Orvin,47.157753,7.214464,700,1955,1955-04-29,119,0.34,34.8,89.0,386.8
Switzerland/Rafz,47.620414,8.542733,515,1955,1955-04-29,119,-0.41,35.9,89.0,322.4
Switzerland/Seon,47.338319,8.153353,550,1955,1955-05-02,122,0.23,27.0,88.0,384.2
Switzerland/Seewis Dorf,46.965358,9.632064,960,1955,1955-05-06,126,-1.76,15.0,90.0,415.0
Switzerland/Sarnen,46.894217,8.252236,500,1955,1955-04-24,114,,,,
Switzerland/Trient,46.048003,6.993797,1300,1955,1955-05-16,136,-3.63,10.7,90.0,557.5
Switzerland/Versoix,46.290431,6.137128,440,1955,1955-04-14,104,1.72,32.5,89.0,608.3
"Switzerland/Wald, ZH",47.277122,8.916314,620,1955,1955-04-29,119,,,,
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1955,1955-05-04,124,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1955,1955-04-30,120,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1955,1955-05-02,122,,,,
Switzerland/Zofingen,47.291794,7.941003,440,1955,1955-04-20,110,0.93,44.6,86.0,330.3
Switzerland/L'Abergement,46.756178,6.490211,660,1956,1956-05-01,122,,,,
Switzerland/Andeer,46.600961,9.422614,985,1956,1956-05-14,135,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1956,1956-04-13,104,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1956,1956-04-08,99,,,,
Switzerland/Couvet,46.9213,6.637761,750,1956,1956-05-18,139,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1956,1956-05-25,146,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1956,1956-05-21,142,,,,
Switzerland/Elm,46.921942,9.172731,1000,1956,1956-05-15,136,,,,
Switzerland/Enges,47.056436,7.012192,820,1956,1956-05-15,136,-2.24,25.5,90.0,190.2
Switzerland/Fiesch,46.400261,8.127792,1100,1956,1956-05-12,133,-5.13,1.0,90.0,304.9
Switzerland/Flawil,47.415283,9.182167,630,1956,1956-05-05,126,-3.15,19.0,90.0,223.4
Switzerland/Gadmen,46.736853,8.351842,1205,1956,1956-05-27,148,,,,
Switzerland/Gryon,46.274817,7.065661,1100,1956,1956-05-10,131,,,,
Switzerland/Liddes,45.988267,7.180528,1350,1956,1956-05-21,142,-6.43,0.0,90.0,220.3
Switzerland/Le Locle,47.047992,6.754314,1020,1956,1956-05-15,136,,,,
Switzerland/Les Ponts-de-Martel,47.002858,6.728592,1120,1956,1956-05-20,141,-3.84,7.6,90.0,231.1
Switzerland/Meiringen I,46.75275,8.137867,900,1956,1956-05-09,130,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1956,1956-04-23,114,,,,
Switzerland/Murg,47.108222,9.217372,500,1956,1956-05-10,131,-1.87,29.4,90.0,258.9
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1956,1956-05-01,122,,,,
Switzerland/Orvin,47.157753,7.214464,700,1956,1956-05-08,129,-1.6,34.2,90.0,170.6
Switzerland/Rafz,47.620414,8.542733,515,1956,1956-05-07,128,-2.14,26.7,89.0,175.6
Switzerland/Schiers,46.965036,9.685814,800,1956,1956-05-04,125,-2.73,25.7,90.0,266.0
Switzerland/Seon,47.338319,8.153353,550,1956,1956-05-06,127,-1.76,26.1,89.0,194.4
Switzerland/Sargans II,47.050589,9.439256,480,1956,1956-04-22,113,,,,
Switzerland/Sarnen,46.894217,8.252236,500,1956,1956-05-02,123,,,,
Switzerland/Trient,46.048003,6.993797,1300,1956,1956-05-27,148,-6.66,0.0,90.0,215.2
Switzerland/Thusis,46.709511,9.44165,700,1956,1956-05-07,128,,,,
Switzerland/Vals,46.622889,9.182461,1250,1956,1956-05-27,148,,,,
Switzerland/Vergeletto,46.225417,8.605172,1100,1956,1956-05-03,124,,,,
Switzerland/Versoix,46.290431,6.137128,440,1956,1956-04-17,108,-0.5,54.7,90.0,203.3
Switzerland/La Valsainte,46.648728,7.182475,1050,1956,1956-04-17,108,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1956,1956-04-25,116,,,,
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1956,1956-05-09,130,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1956,1956-05-07,128,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1956,1956-05-02,123,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1956,1956-04-29,120,,,,
Switzerland/Zofingen,47.291794,7.941003,440,1956,1956-04-20,111,-0.92,44.6,88.0,159.2
Switzerland/L'Abergement,46.756178,6.490211,660,1957,1957-04-03,93,,,,
Switzerland/Andeer,46.600961,9.422614,985,1957,1957-04-23,113,,,,
Switzerland/Biel,47.151194,7.254139,490,1957,1957-04-10,100,2.88,111.1,88.0,308.3
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1957,1957-04-12,102,,,,
Switzerland/Bauma,47.364822,8.881672,640,1957,1957-04-28,118,,,,
Switzerland/Couvet,46.9213,6.637761,750,1957,1957-05-03,123,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1957,1957-04-27,117,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1957,1957-05-14,134,,,,
Switzerland/Elm,46.921942,9.172731,1000,1957,1957-05-01,121,,,,
Switzerland/Enges,47.056436,7.012192,820,1957,1957-04-20,110,2.09,74.3,90.0,311.4
Switzerland/Fiesch,46.400261,8.127792,1100,1957,1957-04-20,110,-0.38,15.9,90.0,290.0
Switzerland/Flawil,47.415283,9.182167,630,1957,1957-04-20,110,1.26,67.5,89.0,261.6
Switzerland/Gryon,46.274817,7.065661,1100,1957,1957-04-21,111,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,1957,1957-05-01,121,,,,
Switzerland/Les Ponts-de-Martel,47.002858,6.728592,1120,1957,1957-05-22,142,0.55,30.3,90.0,382.4
Switzerland/Meiringen I,46.75275,8.137867,900,1957,1957-04-24,114,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1957,1957-04-14,104,,,,
Switzerland/Murg,47.108222,9.217372,500,1957,1957-04-05,95,2.33,72.3,89.0,321.9
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1957,1957-04-13,103,,,,
Switzerland/Orvin,47.157753,7.214464,700,1957,1957-04-22,112,2.47,90.8,89.0,294.1
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1957,1957-05-15,135,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1957,1957-04-11,101,,,,
Switzerland/Seon,47.338319,8.153353,550,1957,1957-04-15,105,2.47,84.3,89.0,277.5
Switzerland/Sargans II,47.050589,9.439256,480,1957,1957-03-27,86,,,,
Switzerland/Simplon-Dorf,46.195022,8.056794,1475,1957,1957-05-31,151,,,,
Switzerland/Sarnen,46.894217,8.252236,500,1957,1957-04-05,95,,,,
Switzerland/Trient,46.048003,6.993797,1300,1957,1957-05-04,124,-2.11,3.0,90.0,338.3
Switzerland/Thusis,46.709511,9.44165,700,1957,1957-04-01,91,,,,
Switzerland/Vals,46.622889,9.182461,1250,1957,1957-05-25,145,,,,
Switzerland/Vergeletto,46.225417,8.605172,1100,1957,1957-05-05,125,,,,
Switzerland/Versoix,46.290431,6.137128,440,1957,1957-03-28,87,3.38,110.7,90.0,356.5
Switzerland/La Valsainte,46.648728,7.182475,1050,1957,1957-05-10,130,,,,
Switzerland/Wädenswil,47.223239,8.679778,480,1957,1957-03-28,87,,,,
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1957,1957-04-23,113,,,,
Switzerland/Wiliberg,47.279603,8.027331,650,1957,1957-04-12,102,,,,
Switzerland/Zürich-Albisgütli,47.350869,8.510678,530,1957,1957-03-30,89,,,,
Switzerland/Zürich-MeteoSchweiz,47.378142,8.565853,555,1957,1957-03-28,87,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1958,1958-05-01,121,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1958,1958-04-25,115,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1958,1958-04-10,100,,,,
Switzerland/Bauma,47.364822,8.881672,640,1958,1958-05-10,130,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1958,1958-04-22,112,,,,
Switzerland/Couvet,46.9213,6.637761,750,1958,1958-05-07,127,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1958,1958-05-17,137,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1958,1958-05-10,130,,,,
Switzerland/Elm,46.921942,9.172731,1000,1958,1958-05-15,135,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1958,1958-05-09,129,,,,
Switzerland/Enges,47.056436,7.012192,820,1958,1958-05-08,128,-0.5,11.3,87.0,452.3
Switzerland/Fiesch,46.400261,8.127792,1100,1958,1958-05-05,125,-3.32,1.2,90.0,236.4
Switzerland/Flawil,47.415283,9.182167,630,1958,1958-05-01,121,-1.03,2.1,90.0,396.3
Switzerland/Gadmen,46.736853,8.351842,1205,1958,1958-05-23,143,,,,
Switzerland/Gryon,46.274817,7.065661,1100,1958,1958-05-08,128,,,,
Switzerland/Liddes,45.988267,7.180528,1350,1958,1958-05-12,132,-4.44,0.7,90.0,579.7
Switzerland/Les Ponts-de-Martel,47.002858,6.728592,1120,1958,1958-05-05,125,-1.95,0.3,90.0,567.7
Switzerland/Meiringen I,46.75275,8.137867,900,1958,1958-05-07,127,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1958,1958-05-01,121,,,,
Switzerland/Murg,47.108222,9.217372,500,1958,1958-05-01,121,0.46,20.8,89.0,484.9
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1958,1958-05-04,124,,,,
Switzerland/Orvin,47.157753,7.214464,700,1958,1958-05-06,126,0.0,22.2,85.0,388.5
Switzerland/Prato-Sornico,46.394025,8.655608,750,1958,1958-04-30,120,,,,
Switzerland/Rafz,47.620414,8.542733,515,1958,1958-05-05,125,-0.12,22.1,87.0,351.0
Switzerland/Seon,47.338319,8.153353,550,1958,1958-04-14,104,0.11,16.0,87.0,395.6
Switzerland/Sargans II,47.050589,9.439256,480,1958,1958-05-08,128,,,,
Switzerland/Sarnen,46.894217,8.252236,500,1958,1958-05-02,122,,,,
Switzerland/Trient,46.048003,6.993797,1300,1958,1958-05-15,135,-4.66,0.5,90.0,577.7
Switzerland/Thusis,46.709511,9.44165,700,1958,1958-05-03,123,,,,
Switzerland/Vals,46.622889,9.182461,1250,1958,1958-05-25,145,,,,
