location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1971,1971-02-03,34
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1972,1972-01-27,27
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1975,1975-02-01,32
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1977,1977-01-31,31
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1979,1979-02-03,34
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1980,1980-02-09,40
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1981,1981-01-28,28
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1982,1982-01-29,29
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1983,1983-01-29,29
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1984,1984-01-24,24
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1985,1985-01-28,28
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1986,1986-01-24,24
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1987,1987-01-30,30
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1989,1989-01-30,30
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1990,1990-01-24,24
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1991,1991-02-03,34
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1992,1992-02-01,32
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1993,1993-01-23,23
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1994,1994-01-30,30
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1995,1995-02-10,41
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1996,1996-02-03,34
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1997,1997-02-20,51
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,1999,1999-02-12,43
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2000,2000-01-27,27
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2001,2001-01-29,29
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2002,2002-01-29,29
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2003,2003-02-05,36
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2004,2004-02-07,38
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2005,2005-02-18,49
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2006,2006-01-27,27
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2007,2007-02-14,45
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2008,2008-02-04,35
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2009,2009-02-09,40
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2010,2010-02-15,46
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2011,2011-02-04,35
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2012,2012-02-01,32
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2013,2013-01-21,21
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2014,2014-01-22,22
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2015,2015-02-13,44
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2016,2016-03-01,61
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2017,2017-02-14,45
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2018,2018-01-29,29
Japan/Minamidaitojima,25.8288888888889,131.228611111111,15.3,2019,2019-02-12,43
