location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Mito,36.3811111111111,140.468055555556,29,1953,1953-04-09,99
Japan/Mito,36.3811111111111,140.468055555556,29,1954,1954-04-06,96
Japan/Mito,36.3811111111111,140.468055555556,29,1955,1955-04-08,98
Japan/Mito,36.3811111111111,140.468055555556,29,1956,1956-04-15,106
Japan/Mito,36.3811111111111,140.468055555556,29,1957,1957-04-14,104
Japan/Mito,36.3811111111111,140.468055555556,29,1958,1958-04-11,101
Japan/Mito,36.3811111111111,140.468055555556,29,1959,1959-04-06,96
Japan/Mito,36.3811111111111,140.468055555556,29,1960,1960-04-10,101
Japan/Mito,36.3811111111111,140.468055555556,29,1961,1961-04-10,100
Japan/Mito,36.3811111111111,140.468055555556,29,1962,1962-04-15,105
Japan/Mito,36.3811111111111,140.468055555556,29,1963,1963-04-13,103
Japan/Mito,36.3811111111111,140.468055555556,29,1964,1964-04-11,102
Japan/Mito,36.3811111111111,140.468055555556,29,1965,1965-04-16,106
Japan/Mito,36.3811111111111,140.468055555556,29,1966,1966-04-08,98
Japan/Mito,36.3811111111111,140.468055555556,29,1967,1967-04-07,97
Japan/Mito,36.3811111111111,140.468055555556,29,1968,1968-04-10,101
Japan/Mito,36.3811111111111,140.468055555556,29,1969,1969-04-13,103
Japan/Mito,36.3811111111111,140.468055555556,29,1970,1970-04-21,111
Japan/Mito,36.3811111111111,140.468055555556,29,1971,1971-04-12,102
Japan/Mito,36.3811111111111,140.468055555556,29,1972,1972-04-05,96
Japan/Mito,36.3811111111111,140.468055555556,29,1973,1973-04-08,98
Japan/Mito,36.3811111111111,140.468055555556,29,1974,1974-04-14,104
Japan/Mito,36.3811111111111,140.468055555556,29,1975,1975-04-12,102
Japan/Mito,36.3811111111111,140.468055555556,29,1976,1976-04-13,104
Japan/Mito,36.3811111111111,140.468055555556,29,1977,1977-04-11,101
Japan/Mito,36.3811111111111,140.468055555556,29,1978,1978-04-16,106
Japan/Mito,36.3811111111111,140.468055555556,29,1979,1979-04-06,96
Japan/Mito,36.3811111111111,140.468055555556,29,1980,1980-04-14,105
Japan/Mito,36.3811111111111,140.468055555556,29,1981,1981-04-15,105
Japan/Mito,36.3811111111111,140.468055555556,29,1982,1982-04-08,98
Japan/Mito,36.3811111111111,140.468055555556,29,1983,1983-04-14,104
Japan/Mito,36.3811111111111,140.468055555556,29,1984,1984-04-27,118
Japan/Mito,36.3811111111111,140.468055555556,29,1985,1985-04-14,104
Japan/Mito,36.3811111111111,140.468055555556,29,1986,1986-04-16,106
Japan/Mito,36.3811111111111,140.468055555556,29,1987,1987-04-05,95
Japan/Mito,36.3811111111111,140.468055555556,29,1988,1988-04-14,105
Japan/Mito,36.3811111111111,140.468055555556,29,1989,1989-04-03,93
Japan/Mito,36.3811111111111,140.468055555556,29,1990,1990-03-30,89
Japan/Mito,36.3811111111111,140.468055555556,29,1991,1991-04-10,100
Japan/Mito,36.3811111111111,140.468055555556,29,1992,1992-04-06,97
Japan/Mito,36.3811111111111,140.468055555556,29,1993,1993-04-14,104
Japan/Mito,36.3811111111111,140.468055555556,29,1994,1994-04-07,97
Japan/Mito,36.3811111111111,140.468055555556,29,1995,1995-04-11,101
Japan/Mito,36.3811111111111,140.468055555556,29,1996,1996-04-14,105
Japan/Mito,36.3811111111111,140.468055555556,29,1997,1997-04-02,92
Japan/Mito,36.3811111111111,140.468055555556,29,1998,1998-04-08,98
Japan/Mito,36.3811111111111,140.468055555556,29,1999,1999-04-05,95
Japan/Mito,36.3811111111111,140.468055555556,29,2000,2000-04-08,99
Japan/Mito,36.3811111111111,140.468055555556,29,2001,2001-04-05,95
Japan/Mito,36.3811111111111,140.468055555556,29,2002,2002-03-28,87
Japan/Mito,36.3811111111111,140.468055555556,29,2003,2003-04-09,99
Japan/Mito,36.3811111111111,140.468055555556,29,2004,2004-03-31,91
Japan/Mito,36.3811111111111,140.468055555556,29,2005,2005-04-09,99
Japan/Mito,36.3811111111111,140.468055555556,29,2006,2006-04-04,94
Japan/Mito,36.3811111111111,140.468055555556,29,2007,2007-04-02,92
Japan/Mito,36.3811111111111,140.468055555556,29,2008,2008-04-03,94
Japan/Mito,36.3811111111111,140.468055555556,29,2009,2009-04-08,98
Japan/Mito,36.3811111111111,140.468055555556,29,2010,2010-04-07,97
Japan/Mito,36.3811111111111,140.468055555556,29,2011,2011-04-12,102
Japan/Mito,36.3811111111111,140.468055555556,29,2012,2012-04-12,103
Japan/Mito,36.3811111111111,140.468055555556,29,2013,2013-04-01,91
Japan/Mito,36.3811111111111,140.468055555556,29,2014,2014-04-02,92
Japan/Mito,36.3811111111111,140.468055555556,29,2015,2015-04-04,94
Japan/Mito,36.3811111111111,140.468055555556,29,2016,2016-04-06,97
Japan/Mito,36.3811111111111,140.468055555556,29,2017,2017-04-10,100
Japan/Mito,36.3811111111111,140.468055555556,29,2018,2018-03-28,87
Japan/Mito,36.3811111111111,140.468055555556,29,2019,2019-04-05,95
Japan/Mito,36.3811111111111,140.468055555556,29,2020,2020-03-31,91
Japan/Mito,36.3811111111111,140.468055555556,29,2021,2021-03-30,89
