location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1953,1953-04-29,119
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1954,1954-04-20,110
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1955,1955-04-16,106
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1956,1956-04-23,114
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1957,1957-04-23,113
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1958,1958-04-24,114
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1959,1959-04-19,109
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1960,1960-04-26,117
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1961,1961-04-22,112
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1962,1962-04-21,111
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1963,1963-04-18,108
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1964,1964-04-24,115
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1965,1965-05-04,124
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1966,1966-04-25,115
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1967,1967-04-26,116
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1968,1968-04-22,113
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1969,1969-04-26,116
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1970,1970-05-03,123
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1971,1971-04-22,112
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1972,1972-04-25,116
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1973,1973-04-21,111
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1974,1974-04-28,118
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1975,1975-04-26,116
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1976,1976-04-26,117
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1977,1977-04-28,118
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1978,1978-05-01,121
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1979,1979-04-25,115
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1980,1980-04-30,121
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1981,1981-04-25,115
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1982,1982-04-25,115
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1983,1983-04-21,111
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1984,1984-05-19,140
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1985,1985-04-26,116
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1986,1986-04-28,118
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1987,1987-04-22,112
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1988,1988-04-27,118
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1989,1989-04-17,107
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1990,1990-04-15,105
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1991,1991-04-21,111
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1992,1992-04-24,115
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1993,1993-04-23,113
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1994,1994-04-22,112
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1995,1995-04-25,115
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1996,1996-04-28,119
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1997,1997-04-26,116
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1998,1998-04-19,109
Japan/Miyako,39.6469444444444,141.965833333333,42.47,1999,1999-04-20,110
Japan/Miyako,39.6469444444444,141.965833333333,42.47,2000,2000-04-27,118
Japan/Miyako,39.6469444444444,141.965833333333,42.47,2001,2001-04-17,107
Japan/Miyako,39.6469444444444,141.965833333333,42.47,2002,2002-04-13,103
Japan/Miyako,39.6469444444444,141.965833333333,42.47,2003,2003-04-19,109
Japan/Miyako,39.6469444444444,141.965833333333,42.47,2004,2004-04-14,105
Japan/Miyako,39.6469444444444,141.965833333333,42.47,2005,2005-04-24,114
Japan/Miyako,39.6469444444444,141.965833333333,42.47,2006,2006-04-28,118
Japan/Miyako,39.6469444444444,141.965833333333,42.47,2007,2007-04-27,117
