location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Mokpo,34.81689,126.38121,38,1980,1980-04-15,106
South Korea/Mokpo,34.81689,126.38121,38,1981,1981-04-12,102
South Korea/Mokpo,34.81689,126.38121,38,1982,1982-04-01,91
South Korea/Mokpo,34.81689,126.38121,38,1983,1983-04-16,106
South Korea/Mokpo,34.81689,126.38121,38,1984,1984-04-18,109
South Korea/Mokpo,34.81689,126.38121,38,1985,1985-04-17,107
South Korea/Mokpo,34.81689,126.38121,38,1986,1986-04-19,109
South Korea/Mokpo,34.81689,126.38121,38,1987,1987-04-14,104
South Korea/Mokpo,34.81689,126.38121,38,1988,1988-04-18,109
South Korea/Mokpo,34.81689,126.38121,38,1989,1989-04-09,99
South Korea/Mokpo,34.81689,126.38121,38,1990,1990-04-02,92
South Korea/Mokpo,34.81689,126.38121,38,1991,1991-04-16,106
South Korea/Mokpo,34.81689,126.38121,38,1992,1992-04-05,96
South Korea/Mokpo,34.81689,126.38121,38,1993,1993-04-18,108
South Korea/Mokpo,34.81689,126.38121,38,1994,1994-04-08,98
South Korea/Mokpo,34.81689,126.38121,38,2015,2015-04-02,92
South Korea/Mokpo,34.81689,126.38121,38,2016,2016-04-02,93
South Korea/Mokpo,34.81689,126.38121,38,2017,2017-04-01,91
South Korea/Mokpo,34.81689,126.38121,38,2018,2018-04-02,92
South Korea/Mokpo,34.81689,126.38121,38,2019,2019-04-05,95
South Korea/Mokpo,34.81689,126.38121,38,2020,2020-03-29,89
