location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Mombetsu,44.345,143.355277777778,15.8,1956,1956-05-11,132
Japan/Mombetsu,44.345,143.355277777778,15.8,1957,1957-05-18,138
Japan/Mombetsu,44.345,143.355277777778,15.8,1958,1958-05-20,140
Japan/Mombetsu,44.345,143.355277777778,15.8,1959,1959-05-04,124
Japan/Mombetsu,44.345,143.355277777778,15.8,1960,1960-05-17,138
Japan/Mombetsu,44.345,143.355277777778,15.8,1961,1961-05-09,129
Japan/Mombetsu,44.345,143.355277777778,15.8,1962,1962-05-12,132
Japan/Mombetsu,44.345,143.355277777778,15.8,1963,1963-05-11,131
Japan/Mombetsu,44.345,143.355277777778,15.8,1964,1964-05-14,135
Japan/Mombetsu,44.345,143.355277777778,15.8,1965,1965-05-20,140
Japan/Mombetsu,44.345,143.355277777778,15.8,1966,1966-05-20,140
Japan/Mombetsu,44.345,143.355277777778,15.8,1967,1967-05-08,128
Japan/Mombetsu,44.345,143.355277777778,15.8,1968,1968-05-09,130
Japan/Mombetsu,44.345,143.355277777778,15.8,1969,1969-05-10,130
Japan/Mombetsu,44.345,143.355277777778,15.8,1970,1970-05-11,131
Japan/Mombetsu,44.345,143.355277777778,15.8,1971,1971-05-18,138
Japan/Mombetsu,44.345,143.355277777778,15.8,1972,1972-05-07,128
Japan/Mombetsu,44.345,143.355277777778,15.8,1973,1973-05-14,134
Japan/Mombetsu,44.345,143.355277777778,15.8,1974,1974-05-17,137
Japan/Mombetsu,44.345,143.355277777778,15.8,1975,1975-05-24,144
Japan/Mombetsu,44.345,143.355277777778,15.8,1976,1976-05-13,134
Japan/Mombetsu,44.345,143.355277777778,15.8,1977,1977-05-14,134
Japan/Mombetsu,44.345,143.355277777778,15.8,1978,1978-05-11,131
Japan/Mombetsu,44.345,143.355277777778,15.8,1979,1979-05-24,144
Japan/Mombetsu,44.345,143.355277777778,15.8,1980,1980-05-22,143
Japan/Mombetsu,44.345,143.355277777778,15.8,1981,1981-05-13,133
Japan/Mombetsu,44.345,143.355277777778,15.8,1982,1982-05-16,136
Japan/Mombetsu,44.345,143.355277777778,15.8,1983,1983-05-03,123
Japan/Mombetsu,44.345,143.355277777778,15.8,1984,1984-05-28,149
Japan/Mombetsu,44.345,143.355277777778,15.8,1985,1985-05-12,132
Japan/Mombetsu,44.345,143.355277777778,15.8,1986,1986-05-08,128
Japan/Mombetsu,44.345,143.355277777778,15.8,1987,1987-05-09,129
Japan/Mombetsu,44.345,143.355277777778,15.8,1988,1988-05-15,136
Japan/Mombetsu,44.345,143.355277777778,15.8,1989,1989-05-18,138
Japan/Mombetsu,44.345,143.355277777778,15.8,1990,1990-05-07,127
Japan/Mombetsu,44.345,143.355277777778,15.8,1991,1991-05-09,129
Japan/Mombetsu,44.345,143.355277777778,15.8,1992,1992-05-13,134
Japan/Mombetsu,44.345,143.355277777778,15.8,1993,1993-05-20,140
Japan/Mombetsu,44.345,143.355277777778,15.8,1994,1994-05-12,132
Japan/Mombetsu,44.345,143.355277777778,15.8,1995,1995-05-09,129
Japan/Mombetsu,44.345,143.355277777778,15.8,1996,1996-05-29,150
Japan/Mombetsu,44.345,143.355277777778,15.8,1997,1997-05-13,133
Japan/Mombetsu,44.345,143.355277777778,15.8,1998,1998-05-01,121
Japan/Mombetsu,44.345,143.355277777778,15.8,1999,1999-05-18,138
Japan/Mombetsu,44.345,143.355277777778,15.8,2000,2000-05-26,147
Japan/Mombetsu,44.345,143.355277777778,15.8,2001,2001-05-14,134
Japan/Mombetsu,44.345,143.355277777778,15.8,2002,2002-04-30,120
Japan/Mombetsu,44.345,143.355277777778,15.8,2003,2003-05-11,131
Japan/Mombetsu,44.345,143.355277777778,15.8,2004,2004-05-13,134
Japan/Mombetsu,44.345,143.355277777778,15.8,2005,2005-05-26,146
Japan/Mombetsu,44.345,143.355277777778,15.8,2006,2006-05-18,138
Japan/Mombetsu,44.345,143.355277777778,15.8,2007,2007-05-21,141
