location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Mungyeong,36.62727,128.148,170.61,1984,1984-04-02,93
South Korea/Mungyeong,36.62727,128.148,170.61,1986,1986-04-22,112
South Korea/Mungyeong,36.62727,128.148,170.61,1987,1987-04-13,103
South Korea/Mungyeong,36.62727,128.148,170.61,1988,1988-04-19,110
South Korea/Mungyeong,36.62727,128.148,170.61,1989,1989-04-06,96
South Korea/Mungyeong,36.62727,128.148,170.61,1990,1990-04-09,99
South Korea/Mungyeong,36.62727,128.148,170.61,1991,1991-04-14,104
South Korea/Mungyeong,36.62727,128.148,170.61,1992,1992-04-05,96
South Korea/Mungyeong,36.62727,128.148,170.61,1993,1993-04-23,113
South Korea/Mungyeong,36.62727,128.148,170.61,1994,1994-04-14,104
