location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1953,1953-05-17,137
Japan/Muroran,42.3236111111111,140.97,3,1953,1953-05-17,137
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1954,1954-05-13,133
Japan/Muroran,42.3236111111111,140.97,3,1954,1954-05-13,133
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1955,1955-05-23,143
Japan/Muroran,42.3236111111111,140.97,3,1955,1955-05-23,143
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1956,1956-05-13,134
Japan/Muroran,42.3236111111111,140.97,3,1956,1956-05-13,134
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1957,1957-05-14,134
Japan/Muroran,42.3236111111111,140.97,3,1957,1957-05-14,134
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1958,1958-05-17,137
Japan/Muroran,42.3236111111111,140.97,3,1958,1958-05-17,137
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1959,1959-04-30,120
Japan/Muroran,42.3236111111111,140.97,3,1959,1959-04-30,120
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1960,1960-05-14,135
Japan/Muroran,42.3236111111111,140.97,3,1960,1960-05-14,135
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1961,1961-05-11,131
Japan/Muroran,42.3236111111111,140.97,3,1961,1961-05-11,131
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1962,1962-05-12,132
Japan/Muroran,42.3236111111111,140.97,3,1962,1962-05-12,132
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1963,1963-05-10,130
Japan/Muroran,42.3236111111111,140.97,3,1963,1963-05-10,130
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1964,1964-05-12,133
Japan/Muroran,42.3236111111111,140.97,3,1964,1964-05-12,133
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1965,1965-05-20,140
Japan/Muroran,42.3236111111111,140.97,3,1965,1965-05-20,140
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1966,1966-05-20,140
Japan/Muroran,42.3236111111111,140.97,3,1966,1966-05-20,140
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1967,1967-05-08,128
Japan/Muroran,42.3236111111111,140.97,3,1967,1967-05-08,128
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1968,1968-05-10,131
Japan/Muroran,42.3236111111111,140.97,3,1968,1968-05-10,131
Japan/Muroran,42.3116666666667,140.975277777778,39.89,1969,1969-05-12,132
