location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Nagano,36.6627777777778,138.1925,418.2,1953,1953-04-24,114
Japan/Nagano,36.6627777777778,138.1925,418.2,1954,1954-04-13,103
Japan/Nagano,36.6627777777778,138.1925,418.2,1955,1955-04-13,103
Japan/Nagano,36.6627777777778,138.1925,418.2,1956,1956-04-17,108
Japan/Nagano,36.6627777777778,138.1925,418.2,1957,1957-04-23,113
Japan/Nagano,36.6627777777778,138.1925,418.2,1958,1958-04-19,109
Japan/Nagano,36.6627777777778,138.1925,418.2,1959,1959-04-12,102
Japan/Nagano,36.6627777777778,138.1925,418.2,1960,1960-04-23,114
Japan/Nagano,36.6627777777778,138.1925,418.2,1961,1961-04-20,110
Japan/Nagano,36.6627777777778,138.1925,418.2,1962,1962-04-22,112
Japan/Nagano,36.6627777777778,138.1925,418.2,1963,1963-04-18,108
Japan/Nagano,36.6627777777778,138.1925,418.2,1964,1964-04-17,108
Japan/Nagano,36.6627777777778,138.1925,418.2,1965,1965-05-03,123
Japan/Nagano,36.6627777777778,138.1925,418.2,1966,1966-04-23,113
Japan/Nagano,36.6627777777778,138.1925,418.2,1967,1967-04-21,111
Japan/Nagano,36.6627777777778,138.1925,418.2,1968,1968-04-21,112
Japan/Nagano,36.6627777777778,138.1925,418.2,1969,1969-04-22,112
Japan/Nagano,36.6627777777778,138.1925,418.2,1970,1970-04-28,118
Japan/Nagano,36.6627777777778,138.1925,418.2,1971,1971-04-20,110
Japan/Nagano,36.6627777777778,138.1925,418.2,1972,1972-04-17,108
Japan/Nagano,36.6627777777778,138.1925,418.2,1973,1973-04-20,110
Japan/Nagano,36.6627777777778,138.1925,418.2,1974,1974-04-22,112
Japan/Nagano,36.6627777777778,138.1925,418.2,1975,1975-04-19,109
Japan/Nagano,36.6627777777778,138.1925,418.2,1976,1976-04-20,111
Japan/Nagano,36.6627777777778,138.1925,418.2,1977,1977-04-18,108
Japan/Nagano,36.6627777777778,138.1925,418.2,1978,1978-04-25,115
Japan/Nagano,36.6627777777778,138.1925,418.2,1979,1979-04-11,101
Japan/Nagano,36.6627777777778,138.1925,418.2,1980,1980-04-22,113
Japan/Nagano,36.6627777777778,138.1925,418.2,1981,1981-04-23,113
Japan/Nagano,36.6627777777778,138.1925,418.2,1982,1982-04-19,109
Japan/Nagano,36.6627777777778,138.1925,418.2,1983,1983-04-16,106
Japan/Nagano,36.6627777777778,138.1925,418.2,1984,1984-04-29,120
Japan/Nagano,36.6627777777778,138.1925,418.2,1985,1985-04-18,108
Japan/Nagano,36.6627777777778,138.1925,418.2,1986,1986-04-23,113
Japan/Nagano,36.6627777777778,138.1925,418.2,1987,1987-04-16,106
Japan/Nagano,36.6627777777778,138.1925,418.2,1988,1988-04-25,116
Japan/Nagano,36.6627777777778,138.1925,418.2,1989,1989-04-11,101
Japan/Nagano,36.6627777777778,138.1925,418.2,1990,1990-04-11,101
Japan/Nagano,36.6627777777778,138.1925,418.2,1991,1991-04-15,105
Japan/Nagano,36.6627777777778,138.1925,418.2,1992,1992-04-16,107
Japan/Nagano,36.6627777777778,138.1925,418.2,1993,1993-04-21,111
Japan/Nagano,36.6627777777778,138.1925,418.2,1994,1994-04-18,108
Japan/Nagano,36.6627777777778,138.1925,418.2,1995,1995-04-21,111
Japan/Nagano,36.6627777777778,138.1925,418.2,1996,1996-04-26,117
Japan/Nagano,36.6627777777778,138.1925,418.2,1997,1997-04-16,106
Japan/Nagano,36.6627777777778,138.1925,418.2,1998,1998-04-13,103
Japan/Nagano,36.6627777777778,138.1925,418.2,1999,1999-04-13,103
Japan/Nagano,36.6627777777778,138.1925,418.2,2000,2000-04-22,113
Japan/Nagano,36.6627777777778,138.1925,418.2,2001,2001-04-13,103
Japan/Nagano,36.6627777777778,138.1925,418.2,2002,2002-04-05,95
Japan/Nagano,36.6627777777778,138.1925,418.2,2003,2003-04-18,108
Japan/Nagano,36.6627777777778,138.1925,418.2,2004,2004-04-11,102
Japan/Nagano,36.6627777777778,138.1925,418.2,2005,2005-04-19,109
Japan/Nagano,36.6627777777778,138.1925,418.2,2006,2006-04-20,110
Japan/Nagano,36.6627777777778,138.1925,418.2,2007,2007-04-14,104
Japan/Nagano,36.6627777777778,138.1925,418.2,2008,2008-04-16,107
Japan/Nagano,36.6627777777778,138.1925,418.2,2009,2009-04-12,102
Japan/Nagano,36.6627777777778,138.1925,418.2,2010,2010-04-13,103
Japan/Nagano,36.6627777777778,138.1925,418.2,2011,2011-04-21,111
Japan/Nagano,36.6627777777778,138.1925,418.2,2012,2012-04-21,112
Japan/Nagano,36.6627777777778,138.1925,418.2,2013,2013-04-15,105
Japan/Nagano,36.6627777777778,138.1925,418.2,2014,2014-04-17,107
Japan/Nagano,36.6627777777778,138.1925,418.2,2015,2015-04-10,100
Japan/Nagano,36.6627777777778,138.1925,418.2,2016,2016-04-08,99
Japan/Nagano,36.6627777777778,138.1925,418.2,2017,2017-04-17,107
Japan/Nagano,36.6627777777778,138.1925,418.2,2018,2018-04-06,96
Japan/Nagano,36.6627777777778,138.1925,418.2,2019,2019-04-18,108
Japan/Nagano,36.6627777777778,138.1925,418.2,2020,2020-04-13,104
Japan/Nagano,36.6627777777778,138.1925,418.2,2021,2021-04-01,91
