location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Naha,26.2072222222222,127.687222222222,28.06,1976,1976-01-28,28
Japan/Naha,26.2072222222222,127.687222222222,28.06,1978,1978-01-28,28
Japan/Naha,26.2072222222222,127.687222222222,28.06,1979,1979-01-25,25
Japan/Naha,26.2072222222222,127.687222222222,28.06,1980,1980-02-19,50
Japan/Naha,26.2072222222222,127.687222222222,28.06,1981,1981-02-03,34
Japan/Naha,26.2072222222222,127.687222222222,28.06,1982,1982-01-24,24
Japan/Naha,26.2072222222222,127.687222222222,28.06,1983,1983-02-04,35
Japan/Naha,26.2072222222222,127.687222222222,28.06,1984,1984-02-04,35
Japan/Naha,26.2072222222222,127.687222222222,28.06,1985,1985-02-04,35
Japan/Naha,26.2072222222222,127.687222222222,28.06,1986,1986-01-26,26
Japan/Naha,26.2072222222222,127.687222222222,28.06,1987,1987-02-10,41
Japan/Naha,26.2072222222222,127.687222222222,28.06,1988,1988-02-11,42
Japan/Naha,26.2072222222222,127.687222222222,28.06,1989,1989-01-28,28
Japan/Naha,26.2072222222222,127.687222222222,28.06,1990,1990-01-31,31
Japan/Naha,26.2072222222222,127.687222222222,28.06,1991,1991-02-10,41
Japan/Naha,26.2072222222222,127.687222222222,28.06,1992,1992-02-10,41
Japan/Naha,26.2072222222222,127.687222222222,28.06,1993,1993-02-07,38
Japan/Naha,26.2072222222222,127.687222222222,28.06,1994,1994-02-04,35
Japan/Naha,26.2072222222222,127.687222222222,28.06,1995,1995-02-18,49
Japan/Naha,26.2072222222222,127.687222222222,28.06,1996,1996-02-02,33
Japan/Naha,26.2072222222222,127.687222222222,28.06,1997,1997-02-01,32
Japan/Naha,26.2072222222222,127.687222222222,28.06,1998,1998-01-28,28
Japan/Naha,26.2072222222222,127.687222222222,28.06,1999,1999-02-15,46
Japan/Naha,26.2072222222222,127.687222222222,28.06,2000,2000-02-03,34
Japan/Naha,26.2072222222222,127.687222222222,28.06,2001,2001-02-05,36
Japan/Naha,26.2072222222222,127.687222222222,28.06,2002,2002-02-05,36
Japan/Naha,26.2072222222222,127.687222222222,28.06,2003,2003-02-07,38
Japan/Naha,26.2072222222222,127.687222222222,28.06,2004,2004-02-10,41
Japan/Naha,26.2072222222222,127.687222222222,28.06,2005,2005-02-14,45
Japan/Naha,26.2072222222222,127.687222222222,28.06,2006,2006-01-24,24
Japan/Naha,26.2072222222222,127.687222222222,28.06,2007,2007-02-16,47
Japan/Naha,26.2072222222222,127.687222222222,28.06,2008,2008-01-25,25
Japan/Naha,26.2072222222222,127.687222222222,28.06,2009,2009-01-23,23
Japan/Naha,26.2072222222222,127.687222222222,28.06,2010,2010-02-01,32
Japan/Naha,26.2072222222222,127.687222222222,28.06,2011,2011-02-02,33
Japan/Naha,26.2072222222222,127.687222222222,28.06,2012,2012-02-06,37
Japan/Naha,26.2072222222222,127.687222222222,28.06,2013,2013-01-23,23
Japan/Naha,26.2072222222222,127.687222222222,28.06,2014,2014-01-27,27
Japan/Naha,26.2072222222222,127.687222222222,28.06,2015,2015-01-29,29
Japan/Naha,26.2072222222222,127.687222222222,28.06,2016,2016-02-12,43
Japan/Naha,26.2072222222222,127.687222222222,28.06,2017,2017-02-08,39
Japan/Naha,26.2072222222222,127.687222222222,28.06,2018,2018-01-30,30
Japan/Naha,26.2072222222222,127.687222222222,28.06,2019,2019-02-12,43
Japan/Naha,26.2072222222222,127.687222222222,28.06,2020,2020-02-03,34
Japan/Naha,26.2072222222222,127.687222222222,28.06,2021,2021-02-01,32
