location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Namhae,34.81662,127.92641,45.71,1980,1980-04-05,96
South Korea/Namhae,34.81662,127.92641,45.71,1981,1981-04-07,97
South Korea/Namhae,34.81662,127.92641,45.71,1982,1982-04-03,93
South Korea/Namhae,34.81662,127.92641,45.71,1983,1983-04-07,97
South Korea/Namhae,34.81662,127.92641,45.71,1984,1984-04-14,105
South Korea/Namhae,34.81662,127.92641,45.71,1985,1985-04-13,103
South Korea/Namhae,34.81662,127.92641,45.71,1986,1986-04-06,96
South Korea/Namhae,34.81662,127.92641,45.71,1987,1987-04-03,93
South Korea/Namhae,34.81662,127.92641,45.71,1988,1988-04-13,104
South Korea/Namhae,34.81662,127.92641,45.71,1989,1989-04-04,94
South Korea/Namhae,34.81662,127.92641,45.71,1990,1990-03-03,62
South Korea/Namhae,34.81662,127.92641,45.71,1991,1991-04-11,101
South Korea/Namhae,34.81662,127.92641,45.71,1992,1992-04-01,92
South Korea/Namhae,34.81662,127.92641,45.71,1993,1993-04-06,96
South Korea/Namhae,34.81662,127.92641,45.71,1994,1994-04-08,98
