location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Nara,34.6938888888889,135.827777777778,104.4,1954,1954-04-04,94
Japan/Nara,34.6938888888889,135.827777777778,104.4,1955,1955-04-06,96
Japan/Nara,34.6938888888889,135.827777777778,104.4,1956,1956-04-07,98
Japan/Nara,34.6938888888889,135.827777777778,104.4,1957,1957-04-13,103
Japan/Nara,34.6938888888889,135.827777777778,104.4,1958,1958-04-08,98
Japan/Nara,34.6938888888889,135.827777777778,104.4,1959,1959-03-29,88
Japan/Nara,34.6938888888889,135.827777777778,104.4,1960,1960-04-04,95
Japan/Nara,34.6938888888889,135.827777777778,104.4,1961,1961-04-07,97
Japan/Nara,34.6938888888889,135.827777777778,104.4,1962,1962-04-09,99
Japan/Nara,34.6938888888889,135.827777777778,104.4,1963,1963-04-07,97
Japan/Nara,34.6938888888889,135.827777777778,104.4,1964,1964-04-07,98
Japan/Nara,34.6938888888889,135.827777777778,104.4,1965,1965-04-17,107
Japan/Nara,34.6938888888889,135.827777777778,104.4,1966,1966-04-08,98
Japan/Nara,34.6938888888889,135.827777777778,104.4,1967,1967-04-08,98
Japan/Nara,34.6938888888889,135.827777777778,104.4,1968,1968-04-08,99
Japan/Nara,34.6938888888889,135.827777777778,104.4,1969,1969-04-12,102
Japan/Nara,34.6938888888889,135.827777777778,104.4,1970,1970-04-17,107
Japan/Nara,34.6938888888889,135.827777777778,104.4,1971,1971-04-07,97
Japan/Nara,34.6938888888889,135.827777777778,104.4,1972,1972-04-06,97
Japan/Nara,34.6938888888889,135.827777777778,104.4,1973,1973-04-05,95
Japan/Nara,34.6938888888889,135.827777777778,104.4,1974,1974-04-08,98
Japan/Nara,34.6938888888889,135.827777777778,104.4,1975,1975-04-09,99
Japan/Nara,34.6938888888889,135.827777777778,104.4,1976,1976-04-05,96
Japan/Nara,34.6938888888889,135.827777777778,104.4,1977,1977-04-04,94
Japan/Nara,34.6938888888889,135.827777777778,104.4,1978,1978-04-11,101
Japan/Nara,34.6938888888889,135.827777777778,104.4,1979,1979-04-06,96
Japan/Nara,34.6938888888889,135.827777777778,104.4,1980,1980-04-08,99
Japan/Nara,34.6938888888889,135.827777777778,104.4,1981,1981-04-06,96
Japan/Nara,34.6938888888889,135.827777777778,104.4,1982,1982-04-01,91
Japan/Nara,34.6938888888889,135.827777777778,104.4,1983,1983-04-07,97
Japan/Nara,34.6938888888889,135.827777777778,104.4,1984,1984-04-16,107
Japan/Nara,34.6938888888889,135.827777777778,104.4,1985,1985-04-08,98
Japan/Nara,34.6938888888889,135.827777777778,104.4,1986,1986-04-10,100
Japan/Nara,34.6938888888889,135.827777777778,104.4,1987,1987-04-06,96
Japan/Nara,34.6938888888889,135.827777777778,104.4,1988,1988-04-14,105
Japan/Nara,34.6938888888889,135.827777777778,104.4,1989,1989-04-02,92
Japan/Nara,34.6938888888889,135.827777777778,104.4,1990,1990-03-28,87
Japan/Nara,34.6938888888889,135.827777777778,104.4,1991,1991-04-05,95
Japan/Nara,34.6938888888889,135.827777777778,104.4,1992,1992-04-01,92
Japan/Nara,34.6938888888889,135.827777777778,104.4,1993,1993-04-07,97
Japan/Nara,34.6938888888889,135.827777777778,104.4,1994,1994-04-06,96
Japan/Nara,34.6938888888889,135.827777777778,104.4,1995,1995-04-08,98
Japan/Nara,34.6938888888889,135.827777777778,104.4,1996,1996-04-08,99
Japan/Nara,34.6938888888889,135.827777777778,104.4,1997,1997-04-03,93
Japan/Nara,34.6938888888889,135.827777777778,104.4,1998,1998-03-31,90
Japan/Nara,34.6938888888889,135.827777777778,104.4,1999,1999-04-02,92
Japan/Nara,34.6938888888889,135.827777777778,104.4,2000,2000-04-10,101
Japan/Nara,34.6938888888889,135.827777777778,104.4,2001,2001-04-04,94
Japan/Nara,34.6938888888889,135.827777777778,104.4,2002,2002-03-26,85
Japan/Nara,34.6938888888889,135.827777777778,104.4,2003,2003-04-04,94
Japan/Nara,34.6938888888889,135.827777777778,104.4,2004,2004-03-30,90
Japan/Nara,34.6938888888889,135.827777777778,104.4,2005,2005-04-07,97
Japan/Nara,34.6938888888889,135.827777777778,104.4,2006,2006-04-05,95
Japan/Nara,34.6938888888889,135.827777777778,104.4,2007,2007-04-04,94
Japan/Nara,34.6938888888889,135.827777777778,104.4,2008,2008-04-03,94
Japan/Nara,34.6938888888889,135.827777777778,104.4,2009,2009-04-06,96
Japan/Nara,34.6938888888889,135.827777777778,104.4,2010,2010-04-02,92
Japan/Nara,34.6938888888889,135.827777777778,104.4,2011,2011-04-08,98
Japan/Nara,34.6938888888889,135.827777777778,104.4,2012,2012-04-09,100
Japan/Nara,34.6938888888889,135.827777777778,104.4,2013,2013-03-29,88
Japan/Nara,34.6938888888889,135.827777777778,104.4,2014,2014-04-01,91
Japan/Nara,34.6938888888889,135.827777777778,104.4,2015,2015-03-31,90
Japan/Nara,34.6938888888889,135.827777777778,104.4,2016,2016-04-02,93
Japan/Nara,34.6938888888889,135.827777777778,104.4,2017,2017-04-08,98
Japan/Nara,34.6938888888889,135.827777777778,104.4,2018,2018-03-29,88
Japan/Nara,34.6938888888889,135.827777777778,104.4,2019,2019-04-05,95
Japan/Nara,34.6938888888889,135.827777777778,104.4,2020,2020-04-03,94
Japan/Nara,34.6938888888889,135.827777777778,104.4,2021,2021-03-30,89
