location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1953,1953-05-19,139
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1954,1954-05-12,132
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1955,1955-05-14,134
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1956,1956-05-09,130
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1957,1957-05-14,134
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1958,1958-05-16,136
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1959,1959-05-05,125
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1960,1960-05-15,136
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1961,1961-05-09,129
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1962,1962-05-07,127
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1963,1963-05-10,130
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1964,1964-05-10,131
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1965,1965-05-17,137
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1966,1966-05-17,137
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1967,1967-05-05,125
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1968,1968-05-05,126
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1969,1969-05-10,130
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1970,1970-05-13,133
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1971,1971-05-16,136
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1972,1972-05-06,127
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1973,1973-05-09,129
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1974,1974-05-12,132
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1975,1975-05-14,134
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1976,1976-05-11,132
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1977,1977-05-13,133
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1978,1978-05-13,133
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1979,1979-05-17,137
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1980,1980-05-16,137
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1981,1981-05-07,127
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1982,1982-05-09,129
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1983,1983-05-03,123
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1984,1984-05-21,142
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1985,1985-05-06,126
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1986,1986-05-08,128
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1987,1987-05-08,128
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1988,1988-05-07,128
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1989,1989-05-07,127
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1990,1990-05-04,124
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1991,1991-05-06,126
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1992,1992-05-09,130
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1993,1993-05-11,131
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1994,1994-05-08,128
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1995,1995-05-07,127
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1996,1996-05-13,134
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1997,1997-05-03,123
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1998,1998-04-26,116
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,1999,1999-05-07,127
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,2000,2000-05-12,133
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,2001,2001-05-01,121
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,2002,2002-04-27,117
Japan/Obihiro,42.9222222222222,143.211944444444,38.4,2003,2003-05-03,123
