location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Onahama,36.9475,140.903333333333,3.3,1953,1953-04-13,103
Japan/Onahama,36.9475,140.903333333333,3.3,1954,1954-04-06,96
Japan/Onahama,36.9475,140.903333333333,3.3,1955,1955-04-10,100
Japan/Onahama,36.9475,140.903333333333,3.3,1956,1956-04-16,107
Japan/Onahama,36.9475,140.903333333333,3.3,1957,1957-04-17,107
Japan/Onahama,36.9475,140.903333333333,3.3,1958,1958-04-13,103
Japan/Onahama,36.9475,140.903333333333,3.3,1959,1959-04-06,96
Japan/Onahama,36.9475,140.903333333333,3.3,1960,1960-04-14,105
Japan/Onahama,36.9475,140.903333333333,3.3,1961,1961-04-14,104
Japan/Onahama,36.9475,140.903333333333,3.3,1962,1962-04-16,106
Japan/Onahama,36.9475,140.903333333333,3.3,1963,1963-04-16,106
Japan/Onahama,36.9475,140.903333333333,3.3,1964,1964-04-13,104
Japan/Onahama,36.9475,140.903333333333,3.3,1965,1965-04-22,112
Japan/Onahama,36.9475,140.903333333333,3.3,1966,1966-04-11,101
Japan/Onahama,36.9475,140.903333333333,3.3,1967,1967-04-09,99
Japan/Onahama,36.9475,140.903333333333,3.3,1968,1968-04-12,103
Japan/Onahama,36.9475,140.903333333333,3.3,1969,1969-04-16,106
Japan/Onahama,36.9475,140.903333333333,3.3,1970,1970-04-21,111
Japan/Onahama,36.9475,140.903333333333,3.3,1971,1971-04-15,105
Japan/Onahama,36.9475,140.903333333333,3.3,1972,1972-04-11,102
Japan/Onahama,36.9475,140.903333333333,3.3,1973,1973-04-12,102
Japan/Onahama,36.9475,140.903333333333,3.3,1974,1974-04-19,109
Japan/Onahama,36.9475,140.903333333333,3.3,1975,1975-04-15,105
Japan/Onahama,36.9475,140.903333333333,3.3,1976,1976-04-13,104
Japan/Onahama,36.9475,140.903333333333,3.3,1977,1977-04-14,104
Japan/Onahama,36.9475,140.903333333333,3.3,1978,1978-04-21,111
Japan/Onahama,36.9475,140.903333333333,3.3,1979,1979-04-09,99
Japan/Onahama,36.9475,140.903333333333,3.3,1980,1980-04-20,111
Japan/Onahama,36.9475,140.903333333333,3.3,1981,1981-04-16,106
Japan/Onahama,36.9475,140.903333333333,3.3,1982,1982-04-11,101
Japan/Onahama,36.9475,140.903333333333,3.3,1983,1983-04-16,106
Japan/Onahama,36.9475,140.903333333333,3.3,1984,1984-04-29,120
Japan/Onahama,36.9475,140.903333333333,3.3,1985,1985-04-17,107
Japan/Onahama,36.9475,140.903333333333,3.3,1986,1986-04-21,111
Japan/Onahama,36.9475,140.903333333333,3.3,1987,1987-04-10,100
Japan/Onahama,36.9475,140.903333333333,3.3,1988,1988-04-16,107
Japan/Onahama,36.9475,140.903333333333,3.3,1989,1989-04-05,95
Japan/Onahama,36.9475,140.903333333333,3.3,1990,1990-04-03,93
Japan/Onahama,36.9475,140.903333333333,3.3,1991,1991-04-15,105
Japan/Onahama,36.9475,140.903333333333,3.3,1992,1992-04-08,99
Japan/Onahama,36.9475,140.903333333333,3.3,1993,1993-04-16,106
Japan/Onahama,36.9475,140.903333333333,3.3,1994,1994-04-12,102
Japan/Onahama,36.9475,140.903333333333,3.3,1995,1995-04-12,102
Japan/Onahama,36.9475,140.903333333333,3.3,1996,1996-04-15,106
Japan/Onahama,36.9475,140.903333333333,3.3,1997,1997-04-08,98
Japan/Onahama,36.9475,140.903333333333,3.3,1998,1998-04-11,101
Japan/Onahama,36.9475,140.903333333333,3.3,1999,1999-04-09,99
Japan/Onahama,36.9475,140.903333333333,3.3,2000,2000-04-12,103
Japan/Onahama,36.9475,140.903333333333,3.3,2001,2001-04-09,99
Japan/Onahama,36.9475,140.903333333333,3.3,2002,2002-04-01,91
Japan/Onahama,36.9475,140.903333333333,3.3,2003,2003-04-13,103
Japan/Onahama,36.9475,140.903333333333,3.3,2004,2004-04-08,99
Japan/Onahama,36.9475,140.903333333333,3.3,2005,2005-04-16,106
Japan/Onahama,36.9475,140.903333333333,3.3,2006,2006-04-11,101
Japan/Onahama,36.9475,140.903333333333,3.3,2007,2007-04-05,95
Japan/Onahama,36.9475,140.903333333333,3.3,2008,2008-04-05,96
