location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1953,1953-05-13,133
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1954,1954-05-17,137
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1955,1955-05-16,136
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1956,1956-05-14,135
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1957,1957-05-14,134
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1958,1958-05-16,136
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1961,1961-05-13,133
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1962,1962-05-16,136
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1963,1963-05-17,137
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1964,1964-05-11,132
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1965,1965-05-23,143
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1966,1966-05-20,140
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1967,1967-05-19,139
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1968,1968-05-11,132
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1969,1969-05-18,138
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1970,1970-05-11,131
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1971,1971-05-21,141
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1973,1973-05-18,138
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1974,1974-05-18,138
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1975,1975-05-12,132
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1976,1976-05-16,137
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1977,1977-05-16,136
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1978,1978-05-14,134
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1979,1979-05-20,140
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1980,1980-05-22,143
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1981,1981-05-13,133
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1982,1982-05-12,132
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1983,1983-05-03,123
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1984,1984-05-23,144
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1985,1985-05-13,133
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1986,1986-05-11,131
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1987,1987-05-15,135
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1988,1988-05-12,133
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1989,1989-05-07,127
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1990,1990-05-01,121
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1991,1991-05-11,131
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1992,1992-05-16,137
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1993,1993-05-14,134
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1994,1994-05-18,138
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1995,1995-05-09,129
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1996,1996-05-22,143
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1997,1997-05-14,134
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1998,1998-05-03,123
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1999,1999-05-19,139
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,2000,2000-05-17,138
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,2001,2001-05-14,134
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,2002,2002-05-02,122
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,2003,2003-05-13,133
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,2004,2004-05-13,134
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,2005,2005-05-23,143
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,2006,2006-05-16,136
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,2007,2007-05-14,134
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,2008,2008-05-01,122
