location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Saga,33.2663888888889,130.305277777778,5.47,1953,1953-04-09,99
Japan/Saga,33.2663888888889,130.305277777778,5.47,1954,1954-04-05,95
Japan/Saga,33.2663888888889,130.305277777778,5.47,1955,1955-04-04,94
Japan/Saga,33.2663888888889,130.305277777778,5.47,1956,1956-04-04,95
Japan/Saga,33.2663888888889,130.305277777778,5.47,1957,1957-04-07,97
Japan/Saga,33.2663888888889,130.305277777778,5.47,1958,1958-04-04,94
Japan/Saga,33.2663888888889,130.305277777778,5.47,1959,1959-03-31,90
Japan/Saga,33.2663888888889,130.305277777778,5.47,1960,1960-04-08,99
Japan/Saga,33.2663888888889,130.305277777778,5.47,1961,1961-04-01,91
Japan/Saga,33.2663888888889,130.305277777778,5.47,1962,1962-04-09,99
Japan/Saga,33.2663888888889,130.305277777778,5.47,1963,1963-04-05,95
Japan/Saga,33.2663888888889,130.305277777778,5.47,1964,1964-04-03,94
Japan/Saga,33.2663888888889,130.305277777778,5.47,1965,1965-04-03,93
Japan/Saga,33.2663888888889,130.305277777778,5.47,1966,1966-04-02,92
Japan/Saga,33.2663888888889,130.305277777778,5.47,1968,1968-04-05,96
Japan/Saga,33.2663888888889,130.305277777778,5.47,1969,1969-04-08,98
Japan/Saga,33.2663888888889,130.305277777778,5.47,1970,1970-04-10,100
Japan/Saga,33.2663888888889,130.305277777778,5.47,1971,1971-04-06,96
Japan/Saga,33.2663888888889,130.305277777778,5.47,1972,1972-04-04,95
Japan/Saga,33.2663888888889,130.305277777778,5.47,1973,1973-03-31,90
Japan/Saga,33.2663888888889,130.305277777778,5.47,1974,1974-04-03,93
Japan/Saga,33.2663888888889,130.305277777778,5.47,1975,1975-04-05,95
Japan/Saga,33.2663888888889,130.305277777778,5.47,1976,1976-04-03,94
Japan/Saga,33.2663888888889,130.305277777778,5.47,1977,1977-03-28,87
Japan/Saga,33.2663888888889,130.305277777778,5.47,1978,1978-04-10,100
Japan/Saga,33.2663888888889,130.305277777778,5.47,1979,1979-04-05,95
Japan/Saga,33.2663888888889,130.305277777778,5.47,1980,1980-04-02,93
Japan/Saga,33.2663888888889,130.305277777778,5.47,1981,1981-03-31,90
Japan/Saga,33.2663888888889,130.305277777778,5.47,1982,1982-03-25,84
Japan/Saga,33.2663888888889,130.305277777778,5.47,1983,1983-04-05,95
Japan/Saga,33.2663888888889,130.305277777778,5.47,1984,1984-04-06,97
Japan/Saga,33.2663888888889,130.305277777778,5.47,1985,1985-04-05,95
Japan/Saga,33.2663888888889,130.305277777778,5.47,1986,1986-04-03,93
Japan/Saga,33.2663888888889,130.305277777778,5.47,1987,1987-04-04,94
Japan/Saga,33.2663888888889,130.305277777778,5.47,1988,1988-04-10,101
Japan/Saga,33.2663888888889,130.305277777778,5.47,1989,1989-04-01,91
Japan/Saga,33.2663888888889,130.305277777778,5.47,1990,1990-03-31,90
Japan/Saga,33.2663888888889,130.305277777778,5.47,1991,1991-04-05,95
Japan/Saga,33.2663888888889,130.305277777778,5.47,1992,1992-04-04,95
Japan/Saga,33.2663888888889,130.305277777778,5.47,1993,1993-04-06,96
Japan/Saga,33.2663888888889,130.305277777778,5.47,1994,1994-04-05,95
Japan/Saga,33.2663888888889,130.305277777778,5.47,1995,1995-04-08,98
Japan/Saga,33.2663888888889,130.305277777778,5.47,1996,1996-04-05,96
Japan/Saga,33.2663888888889,130.305277777778,5.47,1997,1997-03-31,90
Japan/Saga,33.2663888888889,130.305277777778,5.47,1998,1998-03-31,90
Japan/Saga,33.2663888888889,130.305277777778,5.47,1999,1999-04-01,91
Japan/Saga,33.2663888888889,130.305277777778,5.47,2000,2000-04-03,94
Japan/Saga,33.2663888888889,130.305277777778,5.47,2001,2001-04-04,94
Japan/Saga,33.2663888888889,130.305277777778,5.47,2002,2002-03-27,86
Japan/Saga,33.2663888888889,130.305277777778,5.47,2003,2003-03-30,89
Japan/Saga,33.2663888888889,130.305277777778,5.47,2004,2004-03-31,91
Japan/Saga,33.2663888888889,130.305277777778,5.47,2005,2005-04-07,97
Japan/Saga,33.2663888888889,130.305277777778,5.47,2006,2006-04-03,93
Japan/Saga,33.2663888888889,130.305277777778,5.47,2007,2007-03-31,90
Japan/Saga,33.2663888888889,130.305277777778,5.47,2008,2008-04-02,93
Japan/Saga,33.2663888888889,130.305277777778,5.47,2009,2009-03-29,88
Japan/Saga,33.2663888888889,130.305277777778,5.47,2010,2010-04-02,92
Japan/Saga,33.2663888888889,130.305277777778,5.47,2011,2011-04-05,95
Japan/Saga,33.2663888888889,130.305277777778,5.47,2012,2012-04-03,94
Japan/Saga,33.2663888888889,130.305277777778,5.47,2013,2013-03-25,84
Japan/Saga,33.2663888888889,130.305277777778,5.47,2014,2014-03-26,85
Japan/Saga,33.2663888888889,130.305277777778,5.47,2015,2015-03-31,90
Japan/Saga,33.2663888888889,130.305277777778,5.47,2016,2016-03-31,91
Japan/Saga,33.2663888888889,130.305277777778,5.47,2017,2017-04-08,98
Japan/Saga,33.2663888888889,130.305277777778,5.47,2018,2018-03-27,86
Japan/Saga,33.2663888888889,130.305277777778,5.47,2019,2019-04-01,91
Japan/Saga,33.2663888888889,130.305277777778,5.47,2020,2020-04-02,93
Japan/Saga,33.2663888888889,130.305277777778,5.47,2021,2021-03-24,83
