location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1953,1953-04-18,108
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1954,1954-04-05,95
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1955,1955-04-09,99
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1956,1956-04-14,105
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1957,1957-04-17,107
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1958,1958-04-10,100
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1959,1959-04-03,93
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1960,1960-04-07,98
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1961,1961-04-10,100
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1962,1962-04-14,104
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1963,1963-04-14,104
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1964,1964-04-13,104
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1965,1965-04-17,107
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1966,1966-04-08,98
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1967,1967-04-08,98
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1968,1968-04-12,103
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1969,1969-04-15,105
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1970,1970-04-17,107
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1971,1971-04-13,103
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1972,1972-04-11,102
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1973,1973-04-11,101
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1974,1974-04-14,104
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1975,1975-04-12,102
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1976,1976-04-11,102
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1977,1977-04-08,98
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1978,1978-04-14,104
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1979,1979-04-07,97
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1980,1980-04-15,106
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1981,1981-04-13,103
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1982,1982-04-08,98
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1983,1983-04-12,102
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1984,1984-04-20,111
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1985,1985-04-13,103
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1986,1986-04-14,104
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1987,1987-04-06,96
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1988,1988-04-17,108
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1989,1989-04-05,95
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1990,1990-04-03,93
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1991,1991-04-15,105
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1992,1992-04-06,97
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1993,1993-04-14,104
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1994,1994-04-14,104
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1995,1995-04-13,103
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1996,1996-04-19,110
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1997,1997-04-08,98
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1998,1998-04-05,95
Japan/Saigo,36.2044444444444,133.333888888889,26.5,1999,1999-04-09,99
Japan/Saigo,36.2044444444444,133.333888888889,26.5,2000,2000-04-12,103
Japan/Saigo,36.2044444444444,133.333888888889,26.5,2001,2001-04-08,98
Japan/Saigo,36.2044444444444,133.333888888889,26.5,2002,2002-04-01,91
Japan/Saigo,36.2044444444444,133.333888888889,26.5,2003,2003-04-09,99
Japan/Saigo,36.2044444444444,133.333888888889,26.5,2004,2004-04-02,93
Japan/Saigo,36.2044444444444,133.333888888889,26.5,2005,2005-04-12,102
Japan/Saigo,36.2044444444444,133.333888888889,26.5,2006,2006-04-09,99
Japan/Saigo,36.2044444444444,133.333888888889,26.5,2007,2007-04-10,100
Japan/Saigo,36.2044444444444,133.333888888889,26.5,2008,2008-04-08,99
