location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1953,1953-04-22,112
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1954,1954-04-18,108
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1955,1955-04-15,105
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1956,1956-04-21,112
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1957,1957-04-23,113
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1958,1958-04-22,112
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1959,1959-04-12,102
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1960,1960-04-21,112
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1961,1961-04-20,110
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1962,1962-04-22,112
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1963,1963-04-18,108
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1964,1964-04-18,109
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1965,1965-05-02,122
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1966,1966-04-21,111
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1967,1967-04-20,110
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1968,1968-04-19,110
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1969,1969-04-25,115
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1970,1970-04-27,117
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1971,1971-04-24,114
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1972,1972-04-19,110
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1973,1973-04-21,111
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1974,1974-04-26,116
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1975,1975-04-20,110
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1976,1976-04-22,113
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1977,1977-04-20,110
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1978,1978-04-25,115
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1979,1979-04-21,111
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1980,1980-04-24,115
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1981,1981-04-22,112
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1982,1982-04-19,109
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1983,1983-04-18,108
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1984,1984-05-01,122
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1985,1985-04-19,109
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1986,1986-04-23,113
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1987,1987-04-18,108
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1988,1988-04-26,117
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1989,1989-04-11,101
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1990,1990-04-11,101
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1991,1991-04-17,107
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1992,1992-04-16,107
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1993,1993-04-20,110
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1994,1994-04-19,109
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1995,1995-04-20,110
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1996,1996-04-25,116
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1997,1997-04-18,108
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1998,1998-04-13,103
Japan/Sakata,38.9086111111111,139.843333333333,3.14,1999,1999-04-18,108
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2000,2000-04-22,113
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2001,2001-04-15,105
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2002,2002-04-08,98
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2003,2003-04-16,106
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2004,2004-04-12,103
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2005,2005-04-25,115
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2006,2006-04-21,111
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2007,2007-04-19,109
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2008,2008-04-13,104
Japan/Sakata,38.9086111111111,139.843333333333,3.14,2009,2009-04-14,104
