location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Sancheong,35.41299,127.8791,138.07,1980,1980-04-01,92
South Korea/Sancheong,35.41299,127.8791,138.07,1981,1981-04-07,97
South Korea/Sancheong,35.41299,127.8791,138.07,1982,1982-04-04,94
South Korea/Sancheong,35.41299,127.8791,138.07,1983,1983-04-01,91
South Korea/Sancheong,35.41299,127.8791,138.07,1984,1984-04-16,107
South Korea/Sancheong,35.41299,127.8791,138.07,1985,1985-04-15,105
South Korea/Sancheong,35.41299,127.8791,138.07,1986,1986-04-12,102
South Korea/Sancheong,35.41299,127.8791,138.07,1987,1987-04-07,97
South Korea/Sancheong,35.41299,127.8791,138.07,1988,1988-04-13,104
South Korea/Sancheong,35.41299,127.8791,138.07,1989,1989-04-05,95
South Korea/Sancheong,35.41299,127.8791,138.07,1990,1990-03-27,86
South Korea/Sancheong,35.41299,127.8791,138.07,1991,1991-04-09,99
South Korea/Sancheong,35.41299,127.8791,138.07,1992,1992-04-05,96
South Korea/Sancheong,35.41299,127.8791,138.07,1993,1993-04-01,91
South Korea/Sancheong,35.41299,127.8791,138.07,1994,1994-04-08,98
