location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1953,1953-04-17,107
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1953,1953-04-17,107
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1954,1954-04-12,102
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1954,1954-04-12,102
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1955,1955-04-16,106
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1955,1955-04-16,106
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1956,1956-04-19,110
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1956,1956-04-19,110
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1957,1957-04-21,111
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1957,1957-04-21,111
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1958,1958-04-15,105
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1958,1958-04-15,105
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1959,1959-04-10,100
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1959,1959-04-10,100
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1960,1960-04-17,108
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1960,1960-04-17,108
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1961,1961-04-16,106
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1961,1961-04-16,106
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1962,1962-04-21,111
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1962,1962-04-21,111
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1963,1963-04-18,108
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1963,1963-04-18,108
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1964,1964-04-19,110
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1964,1964-04-19,110
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1965,1965-04-25,115
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1965,1965-04-25,115
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1966,1966-04-18,108
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1966,1966-04-18,108
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1967,1967-04-18,108
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1967,1967-04-18,108
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1968,1968-04-14,105
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1968,1968-04-14,105
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1969,1969-04-20,110
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1969,1969-04-20,110
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1970,1970-04-25,115
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1970,1970-04-25,115
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1971,1971-04-17,107
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1971,1971-04-17,107
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1972,1972-04-16,107
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1972,1972-04-16,107
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1973,1973-04-18,108
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1973,1973-04-18,108
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1974,1974-04-24,114
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1974,1974-04-24,114
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1975,1975-04-18,108
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1975,1975-04-18,108
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1976,1976-04-19,110
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1976,1976-04-19,110
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1977,1977-04-19,109
Japan/Sendai,38.2622222222222,140.896666666667,37.9,1977,1977-04-19,109
Japan/Sendai,38.2619444444444,140.896666666667,38.85,1978,1978-04-25,115
