location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Seogwipo,33.24613,126.56534,49.03,1980,1980-04-01,92
South Korea/Seogwipo,33.24613,126.56534,49.03,1981,1981-03-29,88
South Korea/Seogwipo,33.24613,126.56534,49.03,1982,1982-03-31,90
South Korea/Seogwipo,33.24613,126.56534,49.03,1983,1983-04-05,95
South Korea/Seogwipo,33.24613,126.56534,49.03,1984,1984-04-07,98
South Korea/Seogwipo,33.24613,126.56534,49.03,1985,1985-04-08,98
South Korea/Seogwipo,33.24613,126.56534,49.03,1986,1986-04-11,101
South Korea/Seogwipo,33.24613,126.56534,49.03,1987,1987-04-13,103
South Korea/Seogwipo,33.24613,126.56534,49.03,1988,1988-04-09,100
South Korea/Seogwipo,33.24613,126.56534,49.03,1989,1989-03-27,86
South Korea/Seogwipo,33.24613,126.56534,49.03,1990,1990-03-19,78
South Korea/Seogwipo,33.24613,126.56534,49.03,1991,1991-03-26,85
South Korea/Seogwipo,33.24613,126.56534,49.03,1992,1992-03-13,73
South Korea/Seogwipo,33.24613,126.56534,49.03,1993,1993-04-12,102
South Korea/Seogwipo,33.24613,126.56534,49.03,1994,1994-04-08,98
South Korea/Seogwipo,33.24613,126.56534,49.03,2002,2002-04-01,91
South Korea/Seogwipo,33.24613,126.56534,49.03,2015,2015-04-01,91
South Korea/Seogwipo,33.24613,126.56534,49.03,2019,2019-03-03,62
South Korea/Seogwipo,33.24613,126.56534,49.03,2020,2020-04-01,92
