location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Seongsan,33.38677,126.8802,20.34,1980,1980-04-08,99
South Korea/Seongsan,33.38677,126.8802,20.34,1981,1981-04-05,95
South Korea/Seongsan,33.38677,126.8802,20.34,1982,1982-04-15,105
South Korea/Seongsan,33.38677,126.8802,20.34,1983,1983-04-09,99
South Korea/Seongsan,33.38677,126.8802,20.34,1984,1984-04-08,99
South Korea/Seongsan,33.38677,126.8802,20.34,1985,1985-04-08,98
South Korea/Seongsan,33.38677,126.8802,20.34,1986,1986-04-06,96
South Korea/Seongsan,33.38677,126.8802,20.34,1987,1987-04-16,106
South Korea/Seongsan,33.38677,126.8802,20.34,1988,1988-04-15,106
South Korea/Seongsan,33.38677,126.8802,20.34,1989,1989-04-02,92
South Korea/Seongsan,33.38677,126.8802,20.34,1990,1990-03-27,86
South Korea/Seongsan,33.38677,126.8802,20.34,1991,1991-04-16,106
South Korea/Seongsan,33.38677,126.8802,20.34,1992,1992-04-06,97
South Korea/Seongsan,33.38677,126.8802,20.34,1993,1993-04-09,99
South Korea/Seongsan,33.38677,126.8802,20.34,1994,1994-04-09,99
South Korea/Seongsan,33.38677,126.8802,20.34,1995,1995-04-01,91
South Korea/Seongsan,33.38677,126.8802,20.34,1996,1996-04-08,99
South Korea/Seongsan,33.38677,126.8802,20.34,1997,1997-03-03,62
South Korea/Seongsan,33.38677,126.8802,20.34,2013,2013-04-01,91
South Korea/Seongsan,33.38677,126.8802,20.34,2014,2014-03-31,90
