location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Seosan,36.77661,126.49391,25.86,1980,1980-04-19,110
South Korea/Seosan,36.77661,126.49391,25.86,1981,1981-04-17,107
South Korea/Seosan,36.77661,126.49391,25.86,1982,1982-04-16,106
South Korea/Seosan,36.77661,126.49391,25.86,1983,1983-04-15,105
South Korea/Seosan,36.77661,126.49391,25.86,1984,1984-04-25,116
South Korea/Seosan,36.77661,126.49391,25.86,1985,1985-04-02,92
South Korea/Seosan,36.77661,126.49391,25.86,1986,1986-04-21,111
South Korea/Seosan,36.77661,126.49391,25.86,1987,1987-04-18,108
South Korea/Seosan,36.77661,126.49391,25.86,1988,1988-04-22,113
South Korea/Seosan,36.77661,126.49391,25.86,1989,1989-04-14,104
South Korea/Seosan,36.77661,126.49391,25.86,1990,1990-04-17,107
South Korea/Seosan,36.77661,126.49391,25.86,1991,1991-04-18,108
South Korea/Seosan,36.77661,126.49391,25.86,1992,1992-04-09,100
South Korea/Seosan,36.77661,126.49391,25.86,1993,1993-04-02,92
South Korea/Seosan,36.77661,126.49391,25.86,1994,1994-04-15,105
South Korea/Seosan,36.77661,126.49391,25.86,2015,2015-04-01,91
South Korea/Seosan,36.77661,126.49391,25.86,2016,2016-04-09,100
South Korea/Seosan,36.77661,126.49391,25.86,2017,2017-04-12,102
