location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1953,1953-04-10,100
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1954,1954-04-06,96
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1955,1955-04-05,95
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1956,1956-04-09,100
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1957,1957-04-11,101
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1958,1958-04-08,98
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1959,1959-04-05,95
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1960,1960-04-06,97
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1961,1961-04-06,96
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1962,1962-04-10,100
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1963,1963-04-11,101
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1964,1964-04-07,98
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1965,1965-04-11,101
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1966,1966-04-06,96
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1967,1967-04-06,96
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1968,1968-04-07,98
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1969,1969-04-12,102
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1970,1970-04-13,103
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1971,1971-04-08,98
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1972,1972-04-11,102
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1973,1973-04-02,92
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1974,1974-04-05,95
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1975,1975-04-05,95
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1976,1976-04-08,99
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1977,1977-04-01,91
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1978,1978-04-07,97
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1979,1979-04-09,99
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1980,1980-04-08,99
Japan/Shimonoseki,33.9486111111111,130.926111111111,3.3,1981,1981-04-06,96
