location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Shirakawa,37.1316666666667,140.215,354.95,1953,1953-04-26,116
Japan/Shirakawa,37.1316666666667,140.215,354.95,1954,1954-04-15,105
Japan/Shirakawa,37.1316666666667,140.215,354.95,1955,1955-04-15,105
Japan/Shirakawa,37.1316666666667,140.215,354.95,1956,1956-04-19,110
Japan/Shirakawa,37.1316666666667,140.215,354.95,1957,1957-04-21,111
Japan/Shirakawa,37.1316666666667,140.215,354.95,1958,1958-04-21,111
Japan/Shirakawa,37.1316666666667,140.215,354.95,1959,1959-04-15,105
Japan/Shirakawa,37.1316666666667,140.215,354.95,1960,1960-04-19,110
Japan/Shirakawa,37.1316666666667,140.215,354.95,1961,1961-04-20,110
Japan/Shirakawa,37.1316666666667,140.215,354.95,1962,1962-04-22,112
Japan/Shirakawa,37.1316666666667,140.215,354.95,1963,1963-04-18,108
Japan/Shirakawa,37.1316666666667,140.215,354.95,1964,1964-04-16,107
Japan/Shirakawa,37.1316666666667,140.215,354.95,1965,1965-04-30,120
Japan/Shirakawa,37.1316666666667,140.215,354.95,1966,1966-04-20,110
Japan/Shirakawa,37.1316666666667,140.215,354.95,1967,1967-04-20,110
Japan/Shirakawa,37.1316666666667,140.215,354.95,1968,1968-04-21,112
Japan/Shirakawa,37.1316666666667,140.215,354.95,1969,1969-04-23,113
Japan/Shirakawa,37.1316666666667,140.215,354.95,1970,1970-04-28,118
Japan/Shirakawa,37.1316666666667,140.215,354.95,1971,1971-04-20,110
Japan/Shirakawa,37.1316666666667,140.215,354.95,1972,1972-04-19,110
Japan/Shirakawa,37.1316666666667,140.215,354.95,1973,1973-04-18,108
Japan/Shirakawa,37.1316666666667,140.215,354.95,1974,1974-04-26,116
Japan/Shirakawa,37.1316666666667,140.215,354.95,1975,1975-04-20,110
Japan/Shirakawa,37.1316666666667,140.215,354.95,1976,1976-04-22,113
Japan/Shirakawa,37.1316666666667,140.215,354.95,1977,1977-04-19,109
Japan/Shirakawa,37.1316666666667,140.215,354.95,1978,1978-04-28,118
Japan/Shirakawa,37.1316666666667,140.215,354.95,1979,1979-04-18,108
Japan/Shirakawa,37.1316666666667,140.215,354.95,1980,1980-04-26,117
Japan/Shirakawa,37.1316666666667,140.215,354.95,1981,1981-04-21,111
Japan/Shirakawa,37.1316666666667,140.215,354.95,1982,1982-04-19,109
Japan/Shirakawa,37.1316666666667,140.215,354.95,1983,1983-04-18,108
Japan/Shirakawa,37.1316666666667,140.215,354.95,1984,1984-05-02,123
Japan/Shirakawa,37.1316666666667,140.215,354.95,1985,1985-04-21,111
Japan/Shirakawa,37.1316666666667,140.215,354.95,1986,1986-04-25,115
Japan/Shirakawa,37.1316666666667,140.215,354.95,1987,1987-04-16,106
Japan/Shirakawa,37.1316666666667,140.215,354.95,1988,1988-04-25,116
Japan/Shirakawa,37.1316666666667,140.215,354.95,1989,1989-04-14,104
Japan/Shirakawa,37.1316666666667,140.215,354.95,1990,1990-04-10,100
Japan/Shirakawa,37.1316666666667,140.215,354.95,1991,1991-04-16,106
Japan/Shirakawa,37.1316666666667,140.215,354.95,1992,1992-04-16,107
Japan/Shirakawa,37.1316666666667,140.215,354.95,1993,1993-04-22,112
Japan/Shirakawa,37.1316666666667,140.215,354.95,1994,1994-04-18,108
Japan/Shirakawa,37.1316666666667,140.215,354.95,1995,1995-04-22,112
Japan/Shirakawa,37.1316666666667,140.215,354.95,1996,1996-04-26,117
Japan/Shirakawa,37.1316666666667,140.215,354.95,1997,1997-04-14,104
