location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Sokcho,38.25085,128.56472,18.06,1980,1980-04-21,112
South Korea/Sokcho,38.25085,128.56472,18.06,1981,1981-04-19,109
South Korea/Sokcho,38.25085,128.56472,18.06,1982,1982-04-12,102
South Korea/Sokcho,38.25085,128.56472,18.06,1983,1983-04-18,108
South Korea/Sokcho,38.25085,128.56472,18.06,1984,1984-05-07,128
South Korea/Sokcho,38.25085,128.56472,18.06,1985,1985-04-22,112
South Korea/Sokcho,38.25085,128.56472,18.06,1986,1986-04-23,113
South Korea/Sokcho,38.25085,128.56472,18.06,1987,1987-04-17,107
South Korea/Sokcho,38.25085,128.56472,18.06,1988,1988-04-18,109
South Korea/Sokcho,38.25085,128.56472,18.06,1989,1989-04-03,93
South Korea/Sokcho,38.25085,128.56472,18.06,1990,1990-04-12,102
South Korea/Sokcho,38.25085,128.56472,18.06,1991,1991-04-22,112
South Korea/Sokcho,38.25085,128.56472,18.06,1992,1992-04-11,102
South Korea/Sokcho,38.25085,128.56472,18.06,1993,1993-04-12,102
South Korea/Sokcho,38.25085,128.56472,18.06,1994,1994-04-19,109
South Korea/Sokcho,38.25085,128.56472,18.06,1995,1995-04-21,111
South Korea/Sokcho,38.25085,128.56472,18.06,1996,1996-04-23,114
South Korea/Sokcho,38.25085,128.56472,18.06,2004,2004-04-08,99
