location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Suwon,37.27226,126.98533,34.84,1980,1980-04-19,110
South Korea/Suwon,37.27226,126.98533,34.84,1981,1981-04-22,112
South Korea/Suwon,37.27226,126.98533,34.84,1982,1982-04-15,105
South Korea/Suwon,37.27226,126.98533,34.84,1983,1983-04-14,104
South Korea/Suwon,37.27226,126.98533,34.84,1984,1984-04-24,115
South Korea/Suwon,37.27226,126.98533,34.84,1985,1985-04-21,111
South Korea/Suwon,37.27226,126.98533,34.84,1986,1986-04-02,92
South Korea/Suwon,37.27226,126.98533,34.84,1987,1987-04-18,108
South Korea/Suwon,37.27226,126.98533,34.84,1988,1988-04-21,112
South Korea/Suwon,37.27226,126.98533,34.84,1989,1989-04-09,99
South Korea/Suwon,37.27226,126.98533,34.84,1990,1990-04-12,102
South Korea/Suwon,37.27226,126.98533,34.84,1991,1991-04-15,105
South Korea/Suwon,37.27226,126.98533,34.84,1992,1992-04-06,97
South Korea/Suwon,37.27226,126.98533,34.84,1993,1993-04-19,109
South Korea/Suwon,37.27226,126.98533,34.84,1994,1994-04-14,104
South Korea/Suwon,37.27226,126.98533,34.84,1995,1995-04-18,108
South Korea/Suwon,37.27226,126.98533,34.84,2015,2015-04-09,99
South Korea/Suwon,37.27226,126.98533,34.84,2016,2016-04-06,97
South Korea/Suwon,37.27226,126.98533,34.84,2017,2017-04-01,91
South Korea/Suwon,37.27226,126.98533,34.84,2018,2018-04-03,93
South Korea/Suwon,37.27226,126.98533,34.84,2019,2019-04-01,91
South Korea/Suwon,37.27226,126.98533,34.84,2020,2020-04-05,96
