location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1953,1953-04-08,98
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1954,1954-04-06,96
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1955,1955-04-07,97
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1956,1956-04-10,101
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1957,1957-04-12,102
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1958,1958-04-07,97
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1959,1959-04-03,93
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1960,1960-04-06,97
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1961,1961-04-08,98
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1962,1962-04-11,101
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1963,1963-04-10,100
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1964,1964-04-06,97
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1965,1965-04-12,102
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1966,1966-04-04,94
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1967,1967-04-05,95
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1968,1968-04-08,99
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1969,1969-04-11,101
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1970,1970-04-14,104
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1971,1971-04-06,96
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1972,1972-04-07,98
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1973,1973-04-06,96
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1974,1974-04-09,99
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1975,1975-04-07,97
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1976,1976-04-07,98
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1977,1977-04-01,91
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1978,1978-04-10,100
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1979,1979-04-07,97
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1980,1980-04-07,98
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1981,1981-04-06,96
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1982,1982-04-02,92
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1983,1983-04-09,99
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1984,1984-04-15,106
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1985,1985-04-08,98
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1986,1986-04-10,100
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1987,1987-04-05,95
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1988,1988-04-13,104
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1989,1989-04-02,92
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1990,1990-03-29,88
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1991,1991-04-07,97
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1992,1992-04-04,95
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1993,1993-04-08,98
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1994,1994-04-06,96
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1995,1995-04-08,98
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1996,1996-04-10,101
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1997,1997-04-04,94
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1998,1998-04-02,92
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,1999,1999-04-04,94
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2000,2000-04-06,97
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2001,2001-03-31,90
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2002,2002-03-23,82
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2003,2003-04-04,94
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2004,2004-04-03,94
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2005,2005-04-06,96
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2006,2006-04-06,96
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2007,2007-04-04,94
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2008,2008-04-03,94
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2009,2009-04-03,93
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2010,2010-04-04,94
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2011,2011-04-08,98
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2012,2012-04-06,97
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2013,2013-03-30,89
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2014,2014-03-31,90
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2015,2015-04-01,91
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2016,2016-04-04,95
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2017,2017-04-08,98
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2018,2018-03-29,88
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2019,2019-04-04,94
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2020,2020-04-04,95
Japan/Takamatsu,34.3180555555556,134.054444444444,8.7,2021,2021-03-27,86
