location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1953,1953-04-03,93
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1958,1958-04-05,95
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1959,1959-04-09,99
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1960,1960-04-05,96
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1961,1961-04-05,95
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1963,1963-04-03,93
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1965,1965-04-11,101
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1966,1966-03-31,90
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1968,1968-04-03,94
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1972,1972-04-07,98
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1973,1973-03-20,79
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1974,1974-04-02,92
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1975,1975-04-15,105
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1976,1976-04-02,93
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1977,1977-03-26,85
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1978,1978-04-15,105
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1979,1979-04-27,117
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1980,1980-04-06,97
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1981,1981-03-27,86
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1982,1982-03-31,90
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1983,1983-04-08,98
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1984,1984-04-03,94
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1985,1985-04-07,97
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1986,1986-04-01,91
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1987,1987-04-05,95
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1988,1988-04-05,96
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1989,1989-04-03,93
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1990,1990-03-28,87
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1991,1991-04-07,97
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1992,1992-04-08,99
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1996,1996-03-28,88
Japan/Tanegashima,30.7202777777778,130.9825,24.9,1997,1997-03-30,89
Japan/Tanegashima,30.7202777777778,130.9825,24.9,2000,2000-04-12,103
Japan/Tanegashima,30.7202777777778,130.9825,24.9,2001,2001-04-23,113
Japan/Tanegashima,30.7202777777778,130.9825,24.9,2003,2003-04-03,93
Japan/Tanegashima,30.7202777777778,130.9825,24.9,2004,2004-03-31,91
Japan/Tanegashima,30.7202777777778,130.9825,24.9,2005,2005-04-09,99
Japan/Tanegashima,30.7202777777778,130.9825,24.9,2006,2006-03-31,90
Japan/Tanegashima,30.7202777777778,130.9825,24.9,2007,2007-04-25,115
