location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1969,1969-04-09,99
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1970,1970-04-11,101
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1971,1971-04-04,94
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1972,1972-04-03,94
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1973,1973-04-09,99
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1974,1974-04-08,98
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1975,1975-04-07,97
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1976,1976-04-04,95
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1977,1977-04-02,92
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1978,1978-04-16,106
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1979,1979-04-07,97
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1980,1980-04-12,103
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1981,1981-04-07,97
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1982,1982-04-02,92
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1983,1983-04-12,102
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1984,1984-04-15,106
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1985,1985-04-08,98
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1986,1986-04-09,99
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1987,1987-04-06,96
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1988,1988-04-12,103
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1989,1989-04-03,93
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1990,1990-04-01,91
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1991,1991-04-09,99
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1992,1992-04-03,94
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1993,1993-04-07,97
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1994,1994-04-08,98
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1995,1995-04-09,99
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1996,1996-04-05,96
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1997,1997-04-07,97
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1998,1998-04-06,96
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,1999,1999-04-10,100
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,2000,2000-04-10,101
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,2001,2001-04-03,93
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,2002,2002-03-27,86
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,2003,2003-04-03,93
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,2004,2004-04-05,96
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,2005,2005-04-08,98
Japan/Tateyama,34.9869444444444,139.865277777778,5.8,2006,2006-03-29,88
