location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1953,1953-04-05,95
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1954,1954-04-05,95
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1955,1955-04-04,94
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1956,1956-04-07,98
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1957,1957-04-10,100
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1958,1958-04-06,96
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1959,1959-04-03,93
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1960,1960-04-03,94
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1961,1961-04-06,96
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1962,1962-04-09,99
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1963,1963-04-09,99
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1964,1964-04-05,96
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1965,1965-04-12,102
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1966,1966-03-28,87
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1967,1967-04-01,91
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1968,1968-04-05,96
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1969,1969-04-11,101
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1970,1970-04-12,102
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1971,1971-04-04,94
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1972,1972-04-05,96
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1973,1973-04-04,94
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1974,1974-04-07,97
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1975,1975-04-07,97
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1976,1976-04-05,96
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1977,1977-04-01,91
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1978,1978-04-08,98
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1979,1979-04-09,99
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1980,1980-04-06,97
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1981,1981-04-06,96
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1982,1982-03-31,90
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1983,1983-04-09,99
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1984,1984-04-10,101
Japan/Tokushima,34.0677777777778,134.573333333333,1.6,1985,1985-04-08,98
