location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Tongyeong,34.84546,128.4356,32.3,1980,1980-04-13,104
South Korea/Tongyeong,34.84546,128.4356,32.3,1981,1981-04-05,95
South Korea/Tongyeong,34.84546,128.4356,32.3,1982,1982-03-03,62
South Korea/Tongyeong,34.84546,128.4356,32.3,1983,1983-04-06,96
South Korea/Tongyeong,34.84546,128.4356,32.3,1984,1984-04-13,104
South Korea/Tongyeong,34.84546,128.4356,32.3,1985,1985-04-01,91
South Korea/Tongyeong,34.84546,128.4356,32.3,1986,1986-04-01,91
South Korea/Tongyeong,34.84546,128.4356,32.3,1987,1987-04-04,94
South Korea/Tongyeong,34.84546,128.4356,32.3,1988,1988-04-11,102
South Korea/Tongyeong,34.84546,128.4356,32.3,1989,1989-04-02,92
South Korea/Tongyeong,34.84546,128.4356,32.3,1990,1990-03-31,90
South Korea/Tongyeong,34.84546,128.4356,32.3,1991,1991-04-11,101
South Korea/Tongyeong,34.84546,128.4356,32.3,1992,1992-04-02,93
South Korea/Tongyeong,34.84546,128.4356,32.3,1993,1993-04-05,95
South Korea/Tongyeong,34.84546,128.4356,32.3,1994,1994-04-09,99
