location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
toronto,43.646548,-79.46369,106.277,2012,2012-04-13,104,1.37,61.6,88.0,132.5
toronto,43.646548,-79.46369,106.277,2013,2013-05-03,123,-2.49,8.7,85.0,178.2
toronto,43.646548,-79.46369,106.277,2014,2014-05-16,136,-6.45,0.0,89.0,142.8
toronto,43.646548,-79.46369,106.277,2015,2015-05-07,127,-6.7,0.0,90.0,95.5
toronto,43.646548,-79.46369,106.277,2016,2016-05-09,130,-0.62,18.5,84.0,216.5
toronto,43.646548,-79.46369,106.277,2017,2017-04-28,118,-0.2,28.6,89.0,189.3
toronto,43.646548,-79.46369,106.277,2018,2018-05-09,129,-2.22,13.9,86.0,188.5
toronto,43.646548,-79.46369,106.277,2019,2019-05-13,133,-3.55,4.5,89.0,202.2
toronto,43.646548,-79.46369,106.277,2020,2020-05-06,127,-0.04,22.6,90.0,239.6
toronto,43.646548,-79.46369,106.277,2021,2021-04-24,114,-1.06,37.9,90.0,126.1
toronto,43.646548,-79.46369,106.277,2022,2022-05-08,128,-3.39,19.9,88.0,197.7
toronto,43.646548,-79.46369,106.277,2023,2023-04-24,114,-0.47,5.7,88.0,264.4
toronto,43.646548,-79.46369,106.277,2024,2024-04-24,115,0.56,30.2,88.0,185.0
toronto,43.646548,-79.46369,106.277,2025,2025-05-06,126,-2.67,22.4,90.0,159.0
