location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1953,1953-04-10,100
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1954,1954-04-05,95
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1955,1955-04-06,96
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1956,1956-04-11,102
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1957,1957-04-16,106
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1958,1958-04-08,98
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1959,1959-04-02,92
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1960,1960-04-03,94
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1961,1961-04-12,102
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1962,1962-04-10,100
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1963,1963-04-11,101
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1964,1964-04-11,102
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1965,1965-04-19,109
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1966,1966-04-05,95
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1967,1967-04-07,97
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1968,1968-04-11,102
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1969,1969-04-13,103
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1970,1970-04-17,107
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1971,1971-04-11,101
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1972,1972-04-09,100
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1973,1973-04-10,100
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1974,1974-04-12,102
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1975,1975-04-12,102
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1976,1976-04-08,99
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1977,1977-04-11,101
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1978,1978-04-15,105
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1979,1979-04-04,94
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1980,1980-04-11,102
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1981,1981-04-12,102
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1982,1982-04-05,95
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1983,1983-04-10,100
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1984,1984-04-18,109
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1985,1985-04-11,101
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1986,1986-04-14,104
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1987,1987-04-07,97
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1988,1988-04-16,107
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1989,1989-04-01,91
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1990,1990-03-30,89
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1991,1991-04-08,98
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1992,1992-04-03,94
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1993,1993-04-11,101
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1994,1994-04-08,98
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1995,1995-04-08,98
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1996,1996-04-14,105
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1997,1997-04-04,94
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1998,1998-04-04,94
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,1999,1999-04-01,91
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,2000,2000-04-12,103
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,2001,2001-04-07,97
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,2002,2002-03-31,90
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,2003,2003-04-06,96
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,2004,2004-04-03,94
Japan/Tsuruga,35.6533333333333,136.062222222222,1.6,2005,2005-04-10,100
