location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Uiseong,36.35611,128.688,81.81,1980,1980-04-18,109
South Korea/Uiseong,36.35611,128.688,81.81,1981,1981-04-16,106
South Korea/Uiseong,36.35611,128.688,81.81,1982,1982-04-14,104
South Korea/Uiseong,36.35611,128.688,81.81,1983,1983-04-01,91
South Korea/Uiseong,36.35611,128.688,81.81,1984,1984-04-19,110
South Korea/Uiseong,36.35611,128.688,81.81,1985,1985-04-14,104
South Korea/Uiseong,36.35611,128.688,81.81,1986,1986-04-19,109
South Korea/Uiseong,36.35611,128.688,81.81,1987,1987-04-16,106
South Korea/Uiseong,36.35611,128.688,81.81,1988,1988-04-24,115
South Korea/Uiseong,36.35611,128.688,81.81,1989,1989-04-13,103
South Korea/Uiseong,36.35611,128.688,81.81,1990,1990-04-01,91
South Korea/Uiseong,36.35611,128.688,81.81,1991,1991-04-17,107
South Korea/Uiseong,36.35611,128.688,81.81,1992,1992-04-08,99
South Korea/Uiseong,36.35611,128.688,81.81,1993,1993-04-14,104
South Korea/Uiseong,36.35611,128.688,81.81,1994,1994-04-13,103
