location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Uljin,36.99176,129.41278,50,1980,1980-04-23,114
South Korea/Uljin,36.99176,129.41278,50,1981,1981-04-17,107
South Korea/Uljin,36.99176,129.41278,50,1982,1982-04-11,101
South Korea/Uljin,36.99176,129.41278,50,1983,1983-04-17,107
South Korea/Uljin,36.99176,129.41278,50,1984,1984-04-26,117
South Korea/Uljin,36.99176,129.41278,50,1985,1985-04-02,92
South Korea/Uljin,36.99176,129.41278,50,1986,1986-04-16,106
South Korea/Uljin,36.99176,129.41278,50,1987,1987-04-11,101
South Korea/Uljin,36.99176,129.41278,50,1988,1988-04-02,93
South Korea/Uljin,36.99176,129.41278,50,1989,1989-04-08,98
South Korea/Uljin,36.99176,129.41278,50,1990,1990-04-05,95
South Korea/Uljin,36.99176,129.41278,50,1991,1991-04-19,109
South Korea/Uljin,36.99176,129.41278,50,1992,1992-04-09,100
South Korea/Uljin,36.99176,129.41278,50,1993,1993-04-04,94
South Korea/Uljin,36.99176,129.41278,50,1994,1994-04-01,91
South Korea/Uljin,36.99176,129.41278,50,2015,2015-04-03,93
