location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1953,1953-04-12,102
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1954,1954-04-07,97
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1955,1955-04-08,98
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1956,1956-04-15,106
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1957,1957-04-14,104
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1958,1958-04-11,101
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1959,1959-04-06,96
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1960,1960-04-08,99
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1961,1961-04-10,100
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1962,1962-04-12,102
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1963,1963-04-12,102
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1964,1964-04-11,102
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1965,1965-04-16,106
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1966,1966-04-07,97
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1967,1967-04-09,99
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1968,1968-04-09,100
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1969,1969-04-13,103
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1970,1970-04-19,109
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1971,1971-04-10,100
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1972,1972-04-05,96
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1973,1973-04-08,98
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1974,1974-04-12,102
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1975,1975-04-11,101
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1976,1976-04-11,102
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1977,1977-04-08,98
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1978,1978-04-16,106
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1979,1979-04-04,94
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1980,1980-04-13,104
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1981,1981-04-12,102
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1982,1982-04-07,97
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1983,1983-04-12,102
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1984,1984-04-24,115
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1985,1985-04-11,101
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1986,1986-04-16,106
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1987,1987-04-08,98
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1988,1988-04-15,106
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1989,1989-04-06,96
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1990,1990-04-02,92
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1991,1991-04-09,99
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1992,1992-04-04,95
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1993,1993-04-11,101
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1994,1994-04-08,98
Japan/Utsunomiya,36.5497222222222,139.868333333333,119.4,1995,1995-04-10,100
