location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1967,1967-04-03,93
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1968,1968-04-01,92
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1969,1969-04-10,100
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1970,1970-04-11,101
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1971,1971-04-02,92
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1972,1972-04-02,93
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1973,1973-04-02,92
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1974,1974-04-02,92
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1975,1975-04-05,95
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1976,1976-04-04,95
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1977,1977-03-27,86
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1978,1978-04-10,100
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1979,1979-04-07,97
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1980,1980-04-05,96
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1981,1981-03-31,90
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1982,1982-03-25,84
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1983,1983-04-04,94
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1984,1984-04-06,97
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1985,1985-04-05,95
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1986,1986-04-03,93
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1987,1987-04-05,95
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1988,1988-04-08,99
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1989,1989-03-31,90
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1990,1990-03-26,85
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1991,1991-03-31,90
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1992,1992-03-31,91
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1993,1993-04-08,98
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1994,1994-04-06,96
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1995,1995-04-07,97
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1996,1996-04-01,92
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1997,1997-03-29,88
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1998,1998-04-03,93
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,1999,1999-04-01,91
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,2000,2000-04-04,95
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,2001,2001-03-28,87
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,2002,2002-03-23,82
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,2003,2003-03-28,87
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,2004,2004-04-01,92
Japan/Uwajima,33.2277777777778,132.553055555556,2.4,2005,2005-04-05,95
