location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1953,1953-04-16,106
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1954,1954-04-11,101
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1955,1955-04-10,100
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1956,1956-04-16,107
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1957,1957-04-21,111
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1958,1958-04-15,105
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1959,1959-04-05,95
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1960,1960-04-11,102
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1961,1961-04-14,104
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1962,1962-04-15,105
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1963,1963-04-14,104
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1964,1964-04-14,105
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1965,1965-04-22,112
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1966,1966-04-14,104
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1967,1967-04-14,104
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1968,1968-04-17,108
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1969,1969-04-20,110
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1970,1970-04-23,113
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1971,1971-04-16,106
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1972,1972-04-14,105
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1973,1973-04-14,104
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1974,1974-04-19,109
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1975,1975-04-17,107
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1976,1976-04-19,110
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1977,1977-04-14,104
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1978,1978-04-19,109
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1979,1979-04-10,100
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1980,1980-04-15,106
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1981,1981-04-14,104
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1982,1982-04-11,101
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1983,1983-04-15,105
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1984,1984-04-28,119
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1985,1985-04-19,109
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1986,1986-04-18,108
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1987,1987-04-11,101
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1988,1988-04-20,111
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1989,1989-04-07,97
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1990,1990-04-07,97
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1991,1991-04-16,106
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1992,1992-04-09,100
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1993,1993-04-16,106
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1994,1994-04-15,105
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1995,1995-04-16,106
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1996,1996-04-22,113
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1997,1997-04-11,101
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1998,1998-04-09,99
Japan/Wajima,37.3913888888889,136.895277777778,5.16,1999,1999-04-12,102
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2000,2000-04-17,108
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2001,2001-04-10,100
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2002,2002-04-02,92
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2003,2003-04-12,102
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2004,2004-04-06,97
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2005,2005-04-15,105
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2006,2006-04-15,105
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2007,2007-04-15,105
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2008,2008-04-11,102
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2009,2009-04-12,102
Japan/Wajima,37.3913888888889,136.895277777778,5.16,2010,2010-04-14,104
