location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Wakkanai,45.415,141.678888888889,2.85,1953,1953-05-30,150
Japan/Wakkanai,45.415,141.678888888889,2.85,1954,1954-05-27,147
Japan/Wakkanai,45.415,141.678888888889,2.85,1955,1955-05-23,143
Japan/Wakkanai,45.415,141.678888888889,2.85,1956,1956-05-14,135
Japan/Wakkanai,45.415,141.678888888889,2.85,1957,1957-05-22,142
Japan/Wakkanai,45.415,141.678888888889,2.85,1958,1958-05-25,145
Japan/Wakkanai,45.415,141.678888888889,2.85,1959,1959-05-12,132
Japan/Wakkanai,45.415,141.678888888889,2.85,1960,1960-05-24,145
Japan/Wakkanai,45.415,141.678888888889,2.85,1961,1961-05-18,138
Japan/Wakkanai,45.415,141.678888888889,2.85,1962,1962-05-17,137
Japan/Wakkanai,45.415,141.678888888889,2.85,1963,1963-05-15,135
Japan/Wakkanai,45.415,141.678888888889,2.85,1965,1965-05-22,142
Japan/Wakkanai,45.415,141.678888888889,2.85,1974,1974-05-22,142
Japan/Wakkanai,45.415,141.678888888889,2.85,1975,1975-05-22,142
Japan/Wakkanai,45.415,141.678888888889,2.85,1976,1976-05-23,144
Japan/Wakkanai,45.415,141.678888888889,2.85,1977,1977-05-26,146
Japan/Wakkanai,45.415,141.678888888889,2.85,1978,1978-05-19,139
Japan/Wakkanai,45.415,141.678888888889,2.85,1979,1979-05-26,146
Japan/Wakkanai,45.415,141.678888888889,2.85,1980,1980-05-27,148
Japan/Wakkanai,45.415,141.678888888889,2.85,1981,1981-05-15,135
Japan/Wakkanai,45.415,141.678888888889,2.85,1982,1982-05-18,138
Japan/Wakkanai,45.415,141.678888888889,2.85,1983,1983-05-12,132
Japan/Wakkanai,45.415,141.678888888889,2.85,1984,1984-05-26,147
Japan/Wakkanai,45.415,141.678888888889,2.85,1985,1985-05-17,137
Japan/Wakkanai,45.415,141.678888888889,2.85,1986,1986-05-18,138
Japan/Wakkanai,45.415,141.678888888889,2.85,1987,1987-05-19,139
Japan/Wakkanai,45.415,141.678888888889,2.85,1988,1988-05-20,141
Japan/Wakkanai,45.415,141.678888888889,2.85,1989,1989-05-19,139
Japan/Wakkanai,45.415,141.678888888889,2.85,1990,1990-05-09,129
Japan/Wakkanai,45.415,141.678888888889,2.85,1991,1991-05-18,138
Japan/Wakkanai,45.415,141.678888888889,2.85,1992,1992-05-19,140
Japan/Wakkanai,45.415,141.678888888889,2.85,1993,1993-05-18,138
Japan/Wakkanai,45.415,141.678888888889,2.85,1994,1994-05-19,139
Japan/Wakkanai,45.415,141.678888888889,2.85,1995,1995-05-11,131
Japan/Wakkanai,45.415,141.678888888889,2.85,1996,1996-05-25,146
Japan/Wakkanai,45.415,141.678888888889,2.85,1997,1997-05-22,142
Japan/Wakkanai,45.415,141.678888888889,2.85,1998,1998-05-14,134
Japan/Wakkanai,45.415,141.678888888889,2.85,1999,1999-05-18,138
Japan/Wakkanai,45.415,141.678888888889,2.85,2000,2000-05-21,142
Japan/Wakkanai,45.415,141.678888888889,2.85,2001,2001-05-19,139
Japan/Wakkanai,45.415,141.678888888889,2.85,2002,2002-05-02,122
Japan/Wakkanai,45.415,141.678888888889,2.85,2003,2003-05-14,134
Japan/Wakkanai,45.415,141.678888888889,2.85,2004,2004-05-12,133
Japan/Wakkanai,45.415,141.678888888889,2.85,2005,2005-05-28,148
Japan/Wakkanai,45.415,141.678888888889,2.85,2006,2006-05-20,140
Japan/Wakkanai,45.415,141.678888888889,2.85,2007,2007-05-17,137
Japan/Wakkanai,45.415,141.678888888889,2.85,2008,2008-05-05,126
Japan/Wakkanai,45.415,141.678888888889,2.85,2009,2009-05-12,132
Japan/Wakkanai,45.415,141.678888888889,2.85,2010,2010-05-25,145
Japan/Wakkanai,45.415,141.678888888889,2.85,2011,2011-05-25,145
Japan/Wakkanai,45.415,141.678888888889,2.85,2012,2012-05-18,139
Japan/Wakkanai,45.415,141.678888888889,2.85,2013,2013-05-28,148
Japan/Wakkanai,45.415,141.678888888889,2.85,2014,2014-05-13,133
Japan/Wakkanai,45.415,141.678888888889,2.85,2015,2015-05-06,126
Japan/Wakkanai,45.415,141.678888888889,2.85,2016,2016-05-15,136
Japan/Wakkanai,45.415,141.678888888889,2.85,2017,2017-05-11,131
Japan/Wakkanai,45.415,141.678888888889,2.85,2018,2018-05-15,135
Japan/Wakkanai,45.415,141.678888888889,2.85,2019,2019-05-09,129
Japan/Wakkanai,45.415,141.678888888889,2.85,2020,2020-05-12,133
Japan/Wakkanai,45.415,141.678888888889,2.85,2021,2021-05-11,131
