location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Wando,34.39587,126.70184,35.24,1980,1980-04-14,105
South Korea/Wando,34.39587,126.70184,35.24,1981,1981-04-11,101
South Korea/Wando,34.39587,126.70184,35.24,1982,1982-04-11,101
South Korea/Wando,34.39587,126.70184,35.24,1983,1983-04-01,91
South Korea/Wando,34.39587,126.70184,35.24,1984,1984-04-19,110
South Korea/Wando,34.39587,126.70184,35.24,1985,1985-04-15,105
South Korea/Wando,34.39587,126.70184,35.24,1986,1986-04-13,103
South Korea/Wando,34.39587,126.70184,35.24,1987,1987-04-08,98
South Korea/Wando,34.39587,126.70184,35.24,1988,1988-04-07,98
South Korea/Wando,34.39587,126.70184,35.24,1989,1989-03-21,80
South Korea/Wando,34.39587,126.70184,35.24,1990,1990-03-28,87
South Korea/Wando,34.39587,126.70184,35.24,1991,1991-04-11,101
South Korea/Wando,34.39587,126.70184,35.24,1992,1992-04-05,96
South Korea/Wando,34.39587,126.70184,35.24,1993,1993-04-12,102
South Korea/Wando,34.39587,126.70184,35.24,1994,1994-04-13,103
South Korea/Wando,34.39587,126.70184,35.24,1995,1995-04-11,101
South Korea/Wando,34.39587,126.70184,35.24,1996,1996-04-18,109
South Korea/Wando,34.39587,126.70184,35.24,2015,2015-04-03,93
