location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Wonju,37.33756,127.9466,148.6,1980,1980-04-21,112
South Korea/Wonju,37.33756,127.9466,148.6,1981,1981-04-02,92
South Korea/Wonju,37.33756,127.9466,148.6,1982,1982-04-28,118
South Korea/Wonju,37.33756,127.9466,148.6,1983,1983-04-26,116
South Korea/Wonju,37.33756,127.9466,148.6,1984,1984-04-23,114
South Korea/Wonju,37.33756,127.9466,148.6,1985,1985-04-19,109
South Korea/Wonju,37.33756,127.9466,148.6,1986,1986-04-19,109
South Korea/Wonju,37.33756,127.9466,148.6,1987,1987-04-22,112
South Korea/Wonju,37.33756,127.9466,148.6,1988,1988-04-25,116
South Korea/Wonju,37.33756,127.9466,148.6,1989,1989-04-14,104
South Korea/Wonju,37.33756,127.9466,148.6,1990,1990-04-01,91
South Korea/Wonju,37.33756,127.9466,148.6,1991,1991-04-15,105
South Korea/Wonju,37.33756,127.9466,148.6,1992,1992-04-01,92
South Korea/Wonju,37.33756,127.9466,148.6,1993,1993-04-19,109
South Korea/Wonju,37.33756,127.9466,148.6,1994,1994-04-12,102
South Korea/Wonju,37.33756,127.9466,148.6,2005,2005-04-18,108
