location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1953,1953-04-27,117
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1954,1954-04-18,108
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1955,1955-04-15,105
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1956,1956-04-21,112
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1957,1957-04-27,117
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1958,1958-04-23,113
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1959,1959-04-16,106
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1960,1960-04-24,115
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1961,1961-04-21,111
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1962,1962-04-22,112
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1963,1963-04-17,107
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1964,1964-04-17,108
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1965,1965-05-02,122
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1966,1966-04-22,112
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1967,1967-04-24,114
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1968,1968-04-21,112
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1969,1969-04-24,114
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1970,1970-04-28,118
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1971,1971-04-23,113
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1972,1972-04-17,108
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1973,1973-04-21,111
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1974,1974-04-28,118
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1975,1975-04-22,112
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1976,1976-04-23,114
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1977,1977-04-22,112
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1978,1978-04-27,117
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1979,1979-04-20,110
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1980,1980-04-27,118
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1981,1981-04-26,116
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1982,1982-04-21,111
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1983,1983-04-18,108
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1984,1984-05-04,125
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1985,1985-04-22,112
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1986,1986-04-24,114
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1987,1987-04-18,108
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1988,1988-04-27,118
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1989,1989-04-13,103
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1990,1990-04-12,102
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1991,1991-04-17,107
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1992,1992-04-16,107
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1993,1993-04-20,110
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1994,1994-04-18,108
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1995,1995-04-21,111
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1996,1996-04-25,116
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1997,1997-04-19,109
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1998,1998-04-13,103
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1999,1999-04-18,108
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2000,2000-04-24,115
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2001,2001-04-15,105
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2002,2002-04-06,96
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2003,2003-04-17,107
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2004,2004-04-13,104
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2005,2005-04-23,113
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2006,2006-04-23,113
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2007,2007-04-19,109
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2008,2008-04-16,107
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2009,2009-04-13,103
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2010,2010-04-25,115
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2011,2011-04-25,115
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2012,2012-04-26,117
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2013,2013-04-19,109
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2014,2014-04-17,107
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2015,2015-04-15,105
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2016,2016-04-10,101
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2017,2017-04-17,107
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2018,2018-04-11,101
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2019,2019-04-17,107
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2020,2020-04-09,100
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,2021,2021-04-05,95
