location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Yeongju,36.87188,128.51696,210.79,1980,1980-04-02,93
South Korea/Yeongju,36.87188,128.51696,210.79,1981,1981-04-16,106
South Korea/Yeongju,36.87188,128.51696,210.79,1982,1982-04-16,106
South Korea/Yeongju,36.87188,128.51696,210.79,1983,1983-04-15,105
South Korea/Yeongju,36.87188,128.51696,210.79,1984,1984-04-23,114
South Korea/Yeongju,36.87188,128.51696,210.79,1985,1985-04-18,108
South Korea/Yeongju,36.87188,128.51696,210.79,1986,1986-04-21,111
South Korea/Yeongju,36.87188,128.51696,210.79,1987,1987-04-16,106
South Korea/Yeongju,36.87188,128.51696,210.79,1988,1988-04-17,108
South Korea/Yeongju,36.87188,128.51696,210.79,1989,1989-04-12,102
South Korea/Yeongju,36.87188,128.51696,210.79,1990,1990-04-13,103
South Korea/Yeongju,36.87188,128.51696,210.79,1991,1991-04-02,92
South Korea/Yeongju,36.87188,128.51696,210.79,1992,1992-04-12,103
South Korea/Yeongju,36.87188,128.51696,210.79,1993,1993-04-13,103
South Korea/Yeongju,36.87188,128.51696,210.79,1994,1994-04-11,101
