location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Yeosu,34.73929,127.74064,64.64,1980,1980-04-14,105
South Korea/Yeosu,34.73929,127.74064,64.64,1981,1981-04-12,102
South Korea/Yeosu,34.73929,127.74064,64.64,1982,1982-04-09,99
South Korea/Yeosu,34.73929,127.74064,64.64,1983,1983-04-12,102
South Korea/Yeosu,34.73929,127.74064,64.64,1984,1984-04-17,108
South Korea/Yeosu,34.73929,127.74064,64.64,1985,1985-04-17,107
South Korea/Yeosu,34.73929,127.74064,64.64,1986,1986-04-12,102
South Korea/Yeosu,34.73929,127.74064,64.64,1987,1987-04-01,91
South Korea/Yeosu,34.73929,127.74064,64.64,1988,1988-04-17,108
South Korea/Yeosu,34.73929,127.74064,64.64,1989,1989-04-06,96
South Korea/Yeosu,34.73929,127.74064,64.64,1990,1990-03-31,90
South Korea/Yeosu,34.73929,127.74064,64.64,1991,1991-04-14,104
South Korea/Yeosu,34.73929,127.74064,64.64,1992,1992-04-05,96
South Korea/Yeosu,34.73929,127.74064,64.64,1993,1993-04-08,98
South Korea/Yeosu,34.73929,127.74064,64.64,1994,1994-04-11,101
South Korea/Yeosu,34.73929,127.74064,64.64,2004,2004-03-31,91
South Korea/Yeosu,34.73929,127.74064,64.64,2005,2005-04-14,104
South Korea/Yeosu,34.73929,127.74064,64.64,2006,2006-04-06,96
South Korea/Yeosu,34.73929,127.74064,64.64,2015,2015-03-03,62
South Korea/Yeosu,34.73929,127.74064,64.64,2016,2016-03-03,63
South Korea/Yeosu,34.73929,127.74064,64.64,2017,2017-04-03,93
South Korea/Yeosu,34.73929,127.74064,64.64,2018,2018-04-01,91
South Korea/Yeosu,34.73929,127.74064,64.64,2019,2019-03-29,88
South Korea/Yeosu,34.73929,127.74064,64.64,2020,2020-03-27,87
