location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Yonagunijima,24.4666666666667,123.010555555556,30,1992,1992-02-10,41
Japan/Yonagunijima,24.4666666666667,123.010555555556,30,1993,1993-02-17,48
Japan/Yonagunijima,24.4666666666667,123.010555555556,30,1994,1994-02-07,38
Japan/Yonagunijima,24.4666666666667,123.010555555556,30,1995,1995-03-02,61
Japan/Yonagunijima,24.4666666666667,123.010555555556,30,1996,1996-02-17,48
Japan/Yonagunijima,24.4666666666667,123.010555555556,30,1997,1997-02-12,43
Japan/Yonagunijima,24.4666666666667,123.010555555556,30,1998,1998-03-01,60
Japan/Yonagunijima,24.4666666666667,123.010555555556,30,1999,1999-03-03,62
Japan/Yonagunijima,24.4666666666667,123.010555555556,30,2000,2000-02-06,37
Japan/Yonagunijima,24.4666666666667,123.010555555556,30,2001,2001-02-21,52
Japan/Yonagunijima,24.4666666666667,123.010555555556,30,2002,2002-02-14,45
Japan/Yonagunijima,24.4666666666667,123.010555555556,30,2003,2003-02-10,41
Japan/Yonagunijima,24.4666666666667,123.010555555556,30,2004,2004-02-11,42
Japan/Yonagunijima,24.4666666666667,123.010555555556,30,2005,2005-02-15,46
Japan/Yonagunijima,24.4666666666667,123.010555555556,30,2006,2006-01-31,31
Japan/Yonagunijima,24.4666666666667,123.010555555556,30,2007,2007-02-16,47
